"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"The relationship between participation in different types of training programs and gainful employment for formerly incarcerated individuals","https://scispace.com/paper/the-relationship-between-participation-in-different-types-of-53kskxlm5n","2018","Journal Article","Human Resource Development Quarterly","Candace Flatt
Candace Flatt
Ronald L. Jacobs","10.1002/HRDQ.21325","https://scispace.com/pdf/the-relationship-between-participation-in-different-types-of-53kskxlm5n.pdf","","Keywords: human capital, workforce development, formerly incarcerated"
"Gulf-War-Era-II Veterans' Cognitive Information Processing and the Civilian Employment Transition.","https://scispace.com/paper/gulf-war-era-ii-veterans-cognitive-information-processing-265ywl8uxz","2018","","","Denita Hartfield Oyeka","","https://scispace.com/pdf/gulf-war-era-ii-veterans-cognitive-information-processing-265ywl8uxz.pdf","Gulf-War-Era-II Veterans’ Cognitive Information Processing and the Civilian Employment Transition by Denita Hartfield-Oyeka MS, American Military University, 2006 BA, Southern Illinois University, 2002 Dissertation Submitted in Partial Fulfillment of the Requirements for the Degree of Doctor of Philosophy Public Management & Leadership Walden University February 2018","training, and mentoring . Human capital theory analyzes the ability to adapt in a changing environment. The human capital theory demonstrates that productivity can be increased through higher education training that promotes access to a range of skills and knowledge to promote a lifetime learning and economic security . Conceptual Framework Theory of Human Capital:
 Previous researchers explored the human capital of veterans.  found that military service of World War II veterans afforded them significant employment advantages through their early and middle working years. Mani (2013) compared experience of male and female veterans and non-veterans in their pay in the federal civil service. Mani used regression models based on the human capital model and data years before and after the wars in Iraq and Afghanistan. The down-turn in our economic climate has had a negative effective of military veterans earnings as well as their peers Military veterans accept jobs that are respectable but earn less pay than their military careers provided . The gender-based wage gap for nonveterans group who worked decreased while the pay for veterans who did not work in the Department of Defense (DOD) grew. This suggests that veterans experienced a wider gender-wage gap when they do not work in the DOD. Conceptual Framework Theory of Human Capital:
 Several factors of the human capital theory were considered in this study. This study analyzes if the education, wage differentials, and training of Gulf-War-era-II veterans contribute to their ability to overcome career problems. The theory of human capital suggests that these veterans have human capital because of their experiences as a soldier and in combat . Education and training for military personnel that are transitioning into the new civilian employment can be difficult to connect due to the difference in culture and criteria. The ability of the employer and the veteran to understand the transferability of military and civilian education and training can lead to employment stability.  identified that the human capital theory can also increase the quality of education and income-contributing investments could account for improvements in quality of life, valuations, and economic stability. Key Components of the Human Capital Theory:
 There are three key components that define the human capital theory: education, training, and attitudes towards work . The investment in education is an aspect of human capital that needs to be considered when considering the transition between employment cultures. The analysis of the educational background of an employee is important and very informative in terms of assessing human capital . In relation to education, the school quality also affects human capital. The number of years of schooling and the quality of education provided in the schooling are important factors that influence human capital of individuals and can influence their earning potentials . In the context of the military, some veterans are already graduates, while some have not yet completed their degrees. The investment of the military personnel encouraged the pursuit of educational goals to increase professional upward mobility in the military."
"Impact of Human Capital and Social Capabilities on Economic Growth of Pakistan: A Time Series Analysis","https://scispace.com/paper/impact-of-human-capital-and-social-capabilities-on-economic-9b3fxi10","2022","Journal Article","Journal of education and social studies","Zarish Riaz
Uzma Nisar
Humaira Yasmeen","10.52223/jess.20223103","https://scispace.com/pdf/impact-of-human-capital-and-social-capabilities-on-economic-9b3fxi10.pdf","Theoretically, human capital has a significant relationship with economic growth. In this regard, the present study was conducted to determine the conditions that have a significant and positive relationship with economic growth. The main objective of the study was to explore the impact of human capital and social capabilities or skills on the economic growth of Pakistan. The study estimates the impact of human capital and social capabilities on economic growth of Pakistan by using time series data from the period of 1980-2018 taken from World Bank. Autoregressive distributed lag framework is used for the valuation of variables relationship and direction of connection of variables. Human capital influenced by education expenditure, social capabilities, gross fixed capital formation (GFCF) and children mortality. This study indicates the role of human capital in growth and development of Pakistan. Results showed that health and education are the two main sectors which need significant attention of government. In addition, more investment on human capital can increase the social capabilities. Final consumption expenditure depends on current economic conditions of a nation. Results showed progressive human capital influence economic growth due to social capabilities. These objectives can be attained through sharing the suitable amount of GDP to these sectors.","Title: Journal of Education and Social Studies Authors: Zarish Riaz,Uzma Nisar (Corresponding Author),Humaira Yasmeen Keywords: Human capital, Social capabilities, Time series data, Pakistan INTRODUCTION:
 Human capital is a broad term which shows the various types of investments on individual. Simply, it is an investment on human skills through improving their health and education, which ultimately increase the knowledge and human capabilities . Literature shows that economic development cannot be possible without human capital. Human capital which is tool of growth that shows the skills, knowledge, tendency, opinion and other related traits of production .  supported this idea that economists use oftenly the term human capital for health, human capabilities and education that improve the work rate of a nation. It can be taken as advanced expertise, information and the capability of people that are required for construction, goods and services in the labor market. INTRODUCTION:
 The concept human capital has been started after the works of , , ,  and .  documented that wealth of nation is logically identified through its extent of human capital. The difference in socio economic level among the different countries of the world is not only measured by abundance of their natural resources and physical capital but also determined through stock of quality and quantity of human resources.  stated that human capital is the most important to enhance efficiency of labor and physical capital.  also explained that human capital is a main component that increases the resources of firm and supports the workers to raise the output to maintain the competitive benefits. INTRODUCTION:
 In economics, the word human capital may be used during 1890s  however it became more famous after publishing of article of  in Journal of Political Economy. Furthermore, it is a combined theoretical concept that describes the skills, knowledge, capabilities and other characteristics present within people which are associated with economic activities. Human capital encompasses all the investments on human that establish their skills . The theory of human capital is based on expectations that the benefits of workers, training and education increase the marginal physical performance of labour. Performance of firms is closely associated with the payment and benefits of workers which positively enhance the behaviour of workers towards the work .  documented that human capital is an economic value which is enclosed by education, health and human abilities that increase the productivity and it is a valuable source of a country. According to Schultz, Becker, Mincer concept of basic theory of human capital, which shows that investment in human capital through improving health and education, will increase the work productivity of workers or labour. It can be indicated that in growth theories, human capital has great significance. In human capital education and health are considered as key components regarding improving human capabilities ."
"The Rate of Return to Investment in Educaton: A Case Study of Lithuania","https://scispace.com/paper/the-rate-of-return-to-investment-in-educaton-a-case-study-of-4c0v1x8tmo","2014","Journal Article","Wroclaw Review of Law, Administration and Economics","Simona Potelienė
Zita Tamašauskienė","10.1515/WRLAE-2015-0014","https://scispace.com/pdf/the-rate-of-return-to-investment-in-educaton-a-case-study-of-4c0v1x8tmo.pdf","According to human capital theory, people invest in education to accumulate human capital, enhance personal productivity, and in return receive higher life-cycle earnings profiles. Education is a form of human capital investment and accumulation. The formulation and identification of human capital may be quite diverse and usually results in different estimation methods for the rate of return to education. This article is focused on approaches to the measurement of the returns of private investments in human capital in Lithuania. We focused attention on studying human capital investment accumulation through the rate of return on higher education. The aim of the research is to estimate the private rate of return to education in Lithuania and compare calculated data with analogical data in other countries. In the first part of the paper the concept of “human capital” is defined, before estimating the returns to human capital. Further, the research methodology is presented. One of the main ways to calculate the rate of returns to investment in education, which is used in empirical practice, is the full-discounting or elaborate method, which consists in calculating the internal rate of return, and it was this method which was employed. Results indicate that the rate of return for males is relatively higher than for females. The average estimated rate of return to higher education is 13 percent; with the estimated return for females being 12,5 percent; and for males 14,9 percent. After comparing Lithuania‘s and other European countries‘ rates of return on investment in human capital, it is seen that rate of return in Lithuania is similar to that of Spain.","Title: THE RATE OF RETURN TO INVESTMENT IN EDUCATON: A CASE STUDY OF LITHUANIA Authors: Simona Potelienė,Zita Tamašauskienė Wroclaw Review of Law, Administration & Economics:
 [Vol 4:2 investment. A high private return constitutes a strong incentive for individuals to invest in (further) education beyond compulsory schooling . Human capital theory considers individuals, not governments, as the investors in education. It is an individual who chooses to continue schooling or not. So, one of the questions asked by many university or college students is: ""Is a university/college education a good investment?"" Wroclaw Review of Law, Administration & Economics:
 In making that decision, the individual knows that investing more time in school raises wages per unit of time. But given that a working life, or pension age, is finite, the amount of time left to participate in the labour market after further education is reduced. Wroclaw Review of Law, Administration & Economics:
 Taking into account that human capital theory predicts that individuals will choose exactly the amount of time devoted to education that maximises their income over their lifetime, the question arises as to what will be the rate of return to higher education, i.e., higher education acquired. Is it worth trying, spending time and investing in higher education? Wroclaw Review of Law, Administration & Economics:
 The aim of the research -to estimate the private return to education in Lithuania for the current period and compare the rate of return with data for other countries. Wroclaw Review of Law, Administration & Economics:
 The object of the research -the rate of return to investment in education. Wroclaw Review of Law, Administration & Economics:
 The research methods used: comparative and logical analysis and interpretation of literature, comparative analysis of statistical data, generalization method. I. DEFINITION OF HUMAN CAPITAL:
 The concept of human capital is central to much of the research on the economic returns of education, we thus start with briefly introducing the human capital theory and the definition of human capital. I. DEFINITION OF HUMAN CAPITAL:
 Human capital theory argues that the diversity and different levels of knowledge and skills embedded in human beings constitutes a potential source for economic growth and wealth creation. This indeed is a factor that may explain why innovative capabilities differ amongst nations, industries and regions  . I. DEFINITION OF HUMAN CAPITAL:
 The formal concept of human capital was developed in the 1960s by a group of economists associated with the University of Chicago (Becker, 1964; Mincer,  1958, 1966; Schultz, 1962), although the idea that investment in education has a long-term economic and social payoff for the individual and society at large goes back to Adam Smith if not earlier. According to J. M. C. Alcantar 5 and S. R. Sweetland 6 , Adam Smith (1776) first identified a person's skills, abilities and personal knowledge as important qualities of people when considering their economic activities. Smith's major contribution to human capital theory was the identification of the economic value of education and apprenticeship in the acquisition of personal knowledge and skills."
"Implications of human resource accounting on human capital measurement in financial reports.","https://scispace.com/paper/implications-of-human-resource-accounting-on-human-capital-30x5dkirfm","2019","Journal Article","International Journal of Approximate Reasoning","Abel aigAsein
timothy aSoetan
ir Akintoye","10.21474/IJAR01/8326","","","Adebawo (2015), the essence of human resource accounting is to establish a generally accepted model of valuation for human asset and ensuring that the value that drives organization for desired performance is adequately represented and disclosed in financial statements as intangible assets. Human Capital Measurement:
 The concept of measurement in accounting has to do with the process of assigning values to an asset, for the first time, such that it can be objectively reflected in the financial statements. One basis for measuring assets is the cost of acquisition approach. Such a cost is included in the book as the historical cost of that asset. Citing Kirfi and Abdullahi (2012), Akintoye(2012) stated that human capital accounting is the process of identifying and reporting the investments made in human resources of an organization that are presently not accounted for in the conventional accounting practice. It involves measuring the costs incurred by the entity to recruit, select, hire, train and develop human capital . Human Capital Measurement:
 However, for intangible asset like human resource which provides services, the concept of measurement needs to be treated in line with International Accounting Standard (IAS) 38. To be considered for measurement, the intangible asset must first satisfy the criteria for recognition which include being identifiable and controlled by the entity. Human resource can be separated, leased, hired, transferred or outsourced (rented out) singly or in combination with other assets. The entity can control human resource to the exclusion of all others through contract engagements and the economic benefits therefrom will flow into the entity. Since human resource satisfies these criteria, it qualifies as an intangible asset and should appropriately be measured in line with the provisions of IAS 38. Financial Reports:
 These are stewardship reports prepared by persons in fiduciary positions to provide information to their principals. Most of these reports are statutorily required and must be audited to enhance their credibility. Theoretical Review Human Capital theory:
 This theory holds that education and training improve the skills and competences of employees and their ability to earn higher income. In fact, human beings deliberately incur cost of education because of the expectation of a higher earnings capacity after the training. Since the cost incurred in acquiring education is expected to yield higher benefits in the future, it should be treated as investments. The Human Capital Theory was developed by  and extended by . According to , the theory contends that education or training enhances the productivity of employees by imparting useful knowledge and skills, thus raising workers' future income through increase in life time earnings. Thus, the huge cost of education should be capitalized as investment since it was undertaken with a view to earning higher income. The  perspective introduced the fact that human capital or skills acquired is unique to the individual and not transferable but substitutable. This perspective notwithstanding, since a huge cost is incurred in training, development and medical care to improve future productivity, it should be considered as investment and capitalized."
"The influence of the knowledge-based economy agenda on the integration of Roma : a case study of higher education in Slovakia","https://scispace.com/paper/the-influence-of-the-knowledge-based-economy-agenda-on-the-3gxqojin3v","2011","Dissertation","","S. Wissmann","","https://scispace.com/pdf/the-influence-of-the-knowledge-based-economy-agenda-on-the-3gxqojin3v.pdf","More than ten million Roma live in the European Union (Beger & Grabbe, 2010). Many of them face discrimination and social exclusion. Although Roma face discrimination in several areas of society, the focus of this paper will be on Roma in the education system of Slovakia.
There are between 100,000 and 500,000 Roma in Slovakia thus being one of the largest minority groups (Roma Education Fund, 2007). Besides several attempts to end the discrimination of Roma it is still present today. Many Roma children are already segregated in primary school to special classes or schools for mentally handicapped children. Only 2.2% of Roma children finish secondary school as their highest education and only 0.4% complete higher education (Salner, 2005). This low level of education is one of the main problems of Roma and limits their access to the labour market (Grienig, 2010). The low level of education forms a vicious circle because it leads to discrimination in the labour market, which leads to a lower income of Roma households and thus less money to spend for the education of Roma children. The main reason why Roma do not get access to higher education is due to their previous educational attainment (Roma Education Fund, 2007). In order to access higher education in Slovakia students have to pass the final examinations in secondary school. However, the attainment of the vysvedcenie o maturitnej skuske (as the certificate is called in Slovak) might not be the only entrance requirement. Institutions can require entrance examinations or set other criteria. (European Commission, 2010a)
The low level of schooling of Roma leads to a loss of human capital of Slovakia because Roma do not acquire the same knowledge and skills other citizens get. In order to face globalization however more and more human capital is needed to build “knowledge-based economies”. This is even more so now when Slovakia has become a member of the European Union. Human capital and knowledge are very important resources of economies in the EU.","study will have a look at the distribution of educational attainments in the labour market as well as its distribution concerning unemployment. Furthermore, human capital, which will be defined in the next chapter, will be seen as an indicator for ""knowledge-based economies"". Human capital theory:
 The origins of human capital theory date back to the 1960s.  found out that investment in human capital is one of the main explanations of economic growth and the failure to explain economic growth before could be mainly explained by the failure to involve human capital into the analysis. During the 1960s the human capital theory was contested among scholars. Many of them claimed that men were reduced to ""a mere material component"" 2) and that men could not be seen as free persons if they were regarded as a resource. However, according to  ""Laborers have become capitalists [...] from the acquisition of knowledge and skill that have economic value"" (p.3). Human capital theory:
 Schultz was one of the main scholars who first recognized that the difference in earnings was related to differences in educational attainment and health. ""Knowledge and skill [...] [are] a critical investment variable in determining the rate of economic growth""  and investing in those will ""yield a positive rate of return"" . There are five categories where investments in human resources can be seen: health, on-the-job training, education, study programmes for adults and migration of workers. Most is known about investments in education and to answer the research question the focus will be on this category. Human capital theory:
 One of the first attempts to define human capital was made by Gary Becker in 1964. For him ""expenditures on education, training, medical care, etc., are investments in [human] capital"" ) with education being one of the main investments. Becker, as Schultz has found out before, underscores the role of education in increasing the income of people. Human capital theory:
 The role of education in income distribution and economic growth can be seen in the education of women. In the 1960s women mainly worked in households and only received the education necessary for their work. When the level of schooling for women in the USA was increased they started to enter many other jobs and ""the value to women of market skills""   [human capital] is created and used: schools, organisations, labour markets, communities, and national institutions and cultures"" (p.10). Human capital theory:
 Measures for human capital should therefore be based on all of those settings: Human capital theory:
 ""i) the role of each in producing human capital, quantitatively and qualitatively; ii) efficiency measures of each, relating the different settings to cost considerations; iii) measures of access and equity; iv) investments currently made in these different settings, and by whom; v) returns to investments in human capital in these different settings, and for whom""  In order to stay competitive and build economic growth human capital is one of the most important factors. Human capital can be gained through education. Governments are responsible to ensure a good education of their citizens. Therefore they need to establish policy reforms in the field of education. The recognition of the importance of human capital can be important for the policy making of governments to claim that they are a ""knowledgebased economy"". Due to the importance of education, human capital, in this study, will be measured through the variable educational attainment. However, it should be acknowledged"
"Evaluation of Investment in Human Capital Economical Effectiveness","https://scispace.com/paper/evaluation-of-investment-in-human-capital-economical-4tb5828egn","2012","Journal Article","The Engineering Economics","Vilda Giziene
Zaneta Simanaviciene
Oksana Palekiene","10.5755/J01.EE.23.2.1541","https://scispace.com/pdf/evaluation-of-investment-in-human-capital-economical-4tb5828egn.pdf","According to human capital theory the higher education is considered as an investment decision. In order to be beneficial from economic point of view and in comparison with other investment opportunities, investment in education should give a higher rate of return on investment. Knowledge about the return on investment can help to make competent decisions, which would have an economic benefit in the future. Evaluating the investment in human capital (education) as an individual decision, since the vast majority of individuals for gained education should pay themselves and only a part of the price shall be covered by the state, the rate of return on investment becomes an increasingly important evaluation criterion. Making an investment decision it is very important to allocate resources properly. For the individual the costs of this investment include poor wages and direct costs. It can be assumed that individuals with higher education will be paid more than the others without education. Thus, the investment in higher education (human capital) is useful as long as there is a positive difference between marginal benefit and marginal costs. Higher education is a guarantee of a higher life quality. But, in order to ensure the higher life quality, such main factors as individual skills and labour productivity should be eximined. Investment in human and physical capital doesn’t only promote the growth of labour market. The investment such as lower inflation rates and freer trade (lower limits) also stimulates the economic growth. The ability to absorb easily technological change increases labour productivity and efficiency. Education, lifelong learning and health are very important investment in human capital. The foreign scientists performed researches and proved that income growth of individuals depends on the level or degree of education the individual has gained. Rate of return on investment in human capital is positive even after direct and indirect costs estimation. The individuals with higher education have higher incomes in comparison with individuals with college education. Education is one of the most important development factors of the modern knowledge based economy. However, educational and scientific development requires the long-term and huge investment. This investment also should be assessed from the social aspect. On the one hand investment in human capital should be stimulated; on the other aspect it should assess their effectiveness. As the investment in human capital is a complex problem from both practical and scientific aspect, so the practice of such evaluation and applied methods do not give an unambiguous answer. It is very important to evaluate the effectiveness of this investment, to estimate the detention of the time, the money flows: incomes (revenues) and outcomes (expenditures).DOI: http://dx.doi.org/10.5755/j01.ee.23.2.1541","institutions, laws, business environment and etc., human capital is examined as the combination of two components: intellectual skills and knowledge. Therefore, the searching of the factors that determined the economic growth had a great interest in the evaluation of human capital reliability . Theoretical concepts of investment in human capital structure:
 In the report of European education economic experts' network  it is emphasized that essential concept of human capital theory is based on the fact that everyone's education is an investment in yourself, which productively allows to contribute in order to improve the society position. Like any investment, the investment in human capital requires the start-up costs, i.e. direct costs and the possible costs during the studies hoping that in the future this investment will determine the higher level of productivity, higher wages for their work, the lower risk to be an unemployed, and so on. T.  states that according to economic role the human is similar to natural resources and physical capital. Under primarily condition, the human, as well as the natural resources, does not provide any economic effect, but, after some special training, the human capital is formed and is able to give revenue and profit in the future. Therefore, it is important to mention two features of human capital formation : Theoretical concepts of investment in human capital structure:
 1. Patientce requires for waiting during the entire training period, when the learner doesn't produce the goods and services; Theoretical concepts of investment in human capital structure:
 2. Production capacity is subsequently increased, because more educated person, in comparison with less qualified, is able to produce more and of higher quality products. Theoretical concepts of investment in human capital structure:
 Analyzing human resources by some features they are similar to the natural resources, by othersto physical capital. Under primarily condition the human, as well as the natural resources, does not provide any economic effect, but after some special training the human receives the capital quality. Consequently, increasing the cost for labour quality improvement, the work, as a contributor of nature, gradually becomes the human capital . Theoretical concepts of investment in human capital structure:
 The history of human development proves the linkage between the level of education and economic development. The successful economic development more depends on what the investment will be in growth and development of human and intellectual potential, i.e. in human capital. The enormous resources for solving these issues should be directed in a long-term period. The results of such evaluation will be able to balance the education and training policies. It is very important to evaluate the effectiveness of this investment. In order to examine the ways investment in education is evaluated, the social issues could be analyzed. From one aspect, the investment in education could be encouraged, from another, their effectiveness could be evaluated. The grouping of investment in human capital is presented in Figure . Figure 1. Trends of investment in human capital:
 Source: Думова, И. И., ;  Gross investment in human capital involves the acquisition and maintenance costs, including the costs for children's nutrition, care, clothing, shelter, medical services and personal care. Based on scientific researches, 10 percent human health depends on the health care system, 20 percent -on ecological conditions, 20 percentthe health genetically is inherited, and as much as 50 percent is the most important factor that determines the human health, is a way of life and all the other factors directly related to human lifestyle ."
"Review of Human Capital Theory","https://scispace.com/paper/review-of-human-capital-theory-2pr011qvj2","2020","Journal Article","International Journal of Advance Research and Innovative Ideas in Education","Hao-jian Dui","","https://scispace.com/pdf/review-of-human-capital-theory-2pr011qvj2.pdf","The human capital theory is one of the most important breakthroughs in economics. With the continuous development of human capital theory, its important influence on social development has gradually been understood by people, and it has also helped many countries achieve economic progress. The practical application of human capital theory is based on the measurement of human capital. This article reviews the relevant literature of human capital, from two aspects: theory and method.","Title: Review of Human Capital Theory Authors: Hao-Jian Dui Keywords: human capital, theory, measurement method"
"Antecedents to Organizational Performance: Theoretical and Practical Implications for Aircraft Maintenance Officer Force Development","https://scispace.com/paper/antecedents-to-organizational-performance-theoretical-and-2aojscs8y0","2015","","","Andrew L Cooper","","https://scispace.com/pdf/antecedents-to-organizational-performance-theoretical-and-2aojscs8y0.pdf",": This research explored the impact of Aircraft Maintenance Officer human capital, learning organization, and knowledge management on organizational performance. Survey methodology was utilized to gather data with both theoretical and practical implications on 21A force development practices. Solicitation of information regarding 21A competencies, utility of current AF logistics courses, and latent constructs were conducted through a web-based self-administered cross-sectional survey. Examination of the latent variables human capital, learning organization, and knowledge management was conducted using exploratory factor analysis and multiple linear regression supporting a positive effect on organizational performance. Practical application of the theoretical findings could yield potential cost savings through the consolidation, restructuring, or removal of logistics courses currently considered under the 21A Deliberate Continuum of Learning. Implications for researchers, practitioners, and senior 21A leadership are discussed along with limitations, recommendations, and areas for future research.","the simple truth that people invest in themselves and that these investments are very large . Human Capital Theory (HCT): For many reasons outside the scope of this analysis economists since the time of Smith have not focused succinctly on this abstract form of investment. Human Capital Theory (HCT):
 It was not until economist Theodore W.  formally introduced and coined the concept of human capital theory that specific attention was given to expenditures in education, health, and internal migration as avenues to leverage organizational and/or personal benefits. While varying definitions of human capital exist it is generally assumed to be the collection of resources─knowledge, skills, abilities, experiences, intelligence, training, and wisdom that can be leveraged for organization and/or personal benefit . A basic premise of human capital theory, as noted by , is that firms do not own it; individuals do. Firms may have access to valuable human capital, but either through the poor design of work or the mismanagement of people, may not adequately deploy it to achieve strategic impact . Therefore, the next section will discuss the importance on return on human capital investment.  propose three main components of human capital─early ability (whether acquired or innate); qualifications and knowledge acquired through formal education; and skills, competencies and expertise acquired through training on the job. As in investments in physical capital, human capital investment will only be undertaken by the individual or firm if the expected return from the investment is greater than the market rate of interest . Additionally, human capital investments involve an initial cost (tuition and training course fees, forgone earnings while at school and reduced wages and productivity during the training period) which the individual or firm hopes to gain a return on in the future (for example, through increased earnings or higher firm productivity) . It is difficult to analyze an individual's innate knowledge as a source of HC, and outside the scope of this research, however, discussion on investments in education and training as sources of HC providing a competitive advantage is required. Return on HC Investment:
 In most empirical studies, training is distinguished from formal school and post-school qualifications (which are viewed as education) and is generally defined in terms of courses designed to help individuals develop skills that might be of use in their job . Gary S.  in his seminal article on investments in HC described human capital gained through on-the-job training as either general or specific. Completely general training increases the marginal productivity of trainees by exactly the same amount in firms providing the training as in other firms . Conversely, completely specific training can be defined as training that has no effect on the productivity of trainees that would be useful in other firms . Return on HC Investment:
 In a military context, an aerospace maintenance airmen (AFSC 2A5) would find his general skills of value working in a civilian airline company while a munitions loader's (AFSC 2W1) specific skill set would be nontransferable to a civilian airline company. As training builds firm-specific human capital it speeds up the rate at which human resources learn their duties, thereby improving their productivity . As in the RBV context, HC investments in specific training that are valuable, rare, inimitable, and non-substitutable will provide firms with a greater competitive advantage in the marketplace ."
"Measuring human capital : a comparative study with emphasis on Malta","https://scispace.com/paper/measuring-human-capital-a-comparative-study-with-emphasis-on-3tksur6n7b","2017","","","Philip von Brockdorff
Bernice Amaira","10.7423/XJENZA.2017.2.03","https://scispace.com/pdf/measuring-human-capital-a-comparative-study-with-emphasis-on-3tksur6n7b.pdf","","This paper will examine human capital within the framework of growth theory. The knowledge and skills that will be considered will be those entering the production process and yielding an income to the individual. Human capital will be viewed as the ""productive capacity of individuals"" . Measuring Human Capital:
 As stated by , throughout the history of economic thought, many economists have considered the skills and capacities embodied in human beings as a component of capital. In his ""Wealth of Nations"",  treated the acquisition of a skill as an investment which had a cost and returns a profit. Therefore, the basic idea of the human capital theory is that the variety of talents is mainly acquired through different activities, such as education or working experience. These activities have a cost, but produce benefits in future.  noted that the increases in national output could not be solely explained by the increases in the conventional factor inputs of land, man-hours and physical capital. He attributed this discrepancy to the quality of the labour input.  provides an extensive study which establishes the term ""human capital"" and lays the foundation for human capital theory, with his major contribution being the ""human capital earnings function"". Becker complemented Mincer's work in the theoretical and empirical work on human capital.  initiates the book ""Human Capital"" with a lengthy discussion on on-the-job training, explaining that training is unlikely to be profitable for the firm in the current time period but may be profit-able for the firm if future receipts are sufficiently raised or future payments sufficiently lowered. Measuring Human Capital:
 Given that human capital is not directly observable, its measurement can be quite complex. It can be captured in different ways giving way to subjectivity in the assumptions imposed. It is generally acknowledged that there are three main approaches to measuring the human capital stock: the education approach, the costbased approach and the income-based approach. Measuring Human Capital:
 The education approach involves quantifying one of the key elements to human capital formation, that is, education. In the literature, several education measures are used such as literacy rates and school enrolment rates.  and  used years of schooling as a proxy for human capital. Other measures include test scores (J.-W.  and educational attainment, as measured by the International Standard Classification of Education (ISCED). However, educational attainment measures ignore learning that does not lead to a recognised qualification. Although it is a relevant indicator of the quality of human capital, this approach focuses solely on one input to human capital formation."
