"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A review of human capital theory: Microeconomics","https://scispace.com/paper/a-review-of-human-capital-theory-microeconomics-4zu8gu4orv","2007","Journal Article","Social Science Research Network","Kai-Joseph Fleischhauer","10.2139/SSRN.957993","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=957993","… in physical capital, a human capital investment is only … The measurement of school inputs and outputs varies from study … equilibrium framework with endogenous human capital formation…","With the beginning of the new millennium it has become more and more apparent that education and human capital constitute a key element of modern economies. Despite the important role of human capital in modern societies, there are still many unknowns about the process of educational production as well as individual and collective decisions concerning how much and what kind of education to obtain. Chapter 1 of my PhD thesis aims at providing a better understanding of the process of human capital formation and educational attainment. Although human capital plays an important role in both microeconomics and macroeconomics, we focus on the former branch of literature in order to analyze the individual incentives to acquire skills. 
This literature review is divided into six parts each of them representing an important topic of human capital literature. First, we introduce the basic concept of human capital that models individuals as investing in skills in response to the expected returns to education. After this, we investigate the different implications of investments in general and specific human capital and then provide an overview of various empirical studies measuring the rate of return to education. Because educational attainment may also be affected by other factors such as school characteristics or family background, we review the literature on educational production functions and discuss the significance of potential inputs into the process of educational production. Subsequently, we refer to models of human capital accumulation over the life-cycle that manage to replicate the empirical life-cycle patterns concerning the age-earnings profile of individuals. Finally, we analyze the effects of taxation and education subsidies on human capital formation."
"Human capital measurement: a survey","https://scispace.com/paper/human-capital-measurement-a-survey-2fwfa6v6fk","2010","Journal Article","Journal of Economic Surveys","Giuseppe Folloni
Giorgio Vittadini","10.1111/J.1467-6419.2009.00614.X","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-6419.2009.00614.x","… are linked both to the theory of HC investment as a rational … investment choices (the Chicago Human Capital School of … definition) without embedding in the measurement model the …","After a short history of the concept of human capital (henceforth HC) in economic thought (Section 1), this study presents the two main methods for estimating the value of the stock of HC – the retrospective and prospective one – with a review of the models proposed (Section 2). These methods are linked both to the theory of HC investment as a rational choice (Section 3), the literature analysing the contribution of HC investment to economic growth and the HC estimating method through educational attainment (Section 4). The more recent literature on HC as a latent variable is also assessed (Section 5) and a new method of estimation where HC is seen both as an unknown function of formative indicators and as a ‘latent effect’ underlying earned income is proposed (Section 6). Section 7 concludes."
"Measuring human capital","https://scispace.com/paper/measuring-human-capital-369ir598xx","2003","","","Andrew Mayo","","https://pubs.aeaweb.org/doi/pdf/10.1257/jep.36.3.103","… exercise forms of investment in human capital. Although there … on the measurement of human capital attributable to formal … in education-related human capital based on education …","It is becoming vital to have a credible framework for 'people-related' measures within an enterprise. Better decisions flow from a more accurate assessment of human assets; and future reporting requirements are likely to focus increasingly on the softer aspects of business ... This Good Practice Guideline sets out the issues involved in measuring human capital, and suggests areas on which the finance function should concentrate."
"Human capital theory: Education, discrimination, and life cycles","https://scispace.com/paper/Tnj8cyyW0uEJ","","","","F Welch","","","… standard theories, although they also allow the rate of investment … Yet as soon as we open the door to measurement error, we … Consider a simple regression model of measurement error …",""
"Human capital theory: Foundations of a field of inquiry","https://scispace.com/paper/human-capital-theory-foundations-of-a-field-of-inquiry-2r9558eifv","1996","Journal Article","Review of Educational Research","Scott R. Sweetland","10.3102/00346543066003341","","… that the conceptualization and advancement of human capital theory result primarily from … Bowen indicated that an assessment of societal investment should consider all private costs …","This review of human capital theory begins in 1776 and ends in the 1960s, when the theoretical and empirical foundations of the field were articulated and established. The review is organized to provide a general reference to human capital theory, its historical development, and its major methodological approaches. While human capital research has not been limited to education, it usually includes empirical measures of education and produces results that affect educators and education policy. Review of the foundation studies that were conceived by Nobel prize laureates and historically prominent economists supports the position that educators should draw their own informed conclusions and define the agenda of future human capital research."
"Applying human capital management to model manpower readiness a conceptual framework","https://scispace.com/paper/applying-human-capital-management-to-model-manpower-2ls2e5hdi0","2005","","","Pert Chin. Ngin","","https://calhoun.nps.edu/bitstream/handle/10945/1757/05Dec_Ngin.pdf?sequence=1","… This thesis reviews human capital management theories and … To apply human capital management to model personnel … basis for an enterprise-wide return on investment assessment …",": The United States Navy is currently going through a human capital transformation in order to better meet the security challenges of the 21st century. A key component of the plan is the job analysis process, conducted using the SkillsNET methodology, to define job requirements in terms of knowledge, skills, abilities, and tools, in contrast to the current approach of relying on the rating badge and a naval enlisted code associated with the billet. The objective of this thesis is to develop a new metric to present manpower readiness in terms of human capital readiness, in line with the Navy's new human capital management approach. This thesis reviews human capital management theories and Sea Warrior, focusing on the capture of human capital skill objects by SkillsNET. Manpower readiness is defined as a function of two components: competence level and preparedness level. Competence level represents the current level of readiness, while the preparedness level is a proxy for the level of readiness in the immediate future. The proposed metric utilizes the human capital skill objects compiled and defined by SkillsNET, and aggregates the individual data to generate the overview of human capital readiness at functional or organizational levels. This metric can be used as a performance measure to evaluate the effectiveness of activities and initiatives conducted in human capital management, which ranges from planning, recruiting, and training to assigning."
"Generic and specific skills as components of human capital: new challenges for education theory and practice","https://scispace.com/paper/generic-and-specific-skills-as-components-of-human-capital-44dla0lbxs","2019","Journal Article","","Yaroslav Kuzminov
Pavel Sorokin
Isak Froumin","10.17323/2500-2597.2019.2.19.41","https://cyberleninka.ru/article/n/generic-and-specific-skills-as-components-of-human-capital-new-challenges-for-education-theory-and-practice.pdf","… A two-level analytical framework of individual and aggregate … , our definition emphasizes three levels of investment and … of unexpected assessment results on national education policies …","Human capital theory in recent decades has become the basis for educational policy in many developed countries. Expert discussions, however, often undervalue research findings and developments related to this theory that since the 1970s have consistently enriched understanding of how human capital contributes to personal well-being and socioeconomic development of society as a whole. Educational policy lags behind these elaborations, which leads to a decline in the impact of education upon development worldwide. In the 21st century, fundamentally new trends in socioeconomic dynamics pose unprecedented challenges for educational systems around the world, including Russia. Despite the quantitative growth of money and time spent on education, performance per unit of education costs has fallen. The human potential, created by education, is facing more and more difficulties in its capitalization: economic growth is slowing down at both at the country level and globally. This situation brings to life new attempts to claim insignificance of education for economic growth and for individual success. So far, these attempts have not been very influential in educational policy, but in many countries, such arguments already serve as a backdrop for budget decisions that are detrimental for education. Educational systems need to complement practices that contribute to the development of human capital. In this regard, several theoretical elaborations that have not yet became part of the mainstream discussion on human capital, could be helpful for understanding the role of human capital in socioeconomic progress and possible ways to improve it in the short and long term."
"The definition and measurement of human capital resources: A content and meta-analytic review.","https://scispace.com/paper/the-definition-and-measurement-of-human-capital-resources-a-1319jh4k","2023","Journal Article","Journal of Applied Psychology","Lin Zhang
Chad H. Van Iddekinge
Robert E. Ployhart
John D. Arnold
Samantha L. Jordan","10.1037/apl0001088","","… (eg, human capital, HCR, resources-based theory). We also … (ie, “Our project personnel have sound domain knowledge”), … only other constructs (eg, education, HPWPs) and 9.6% are …","Although human capital resources (HCR) can be important for organizational performance, researchers have defined and measured HCR in various ways. Consequently, it is unclear whether existing measures provide valid inferences about HCR or their relations with other constructs. We conducted this three-study research to address these issues. In Study 1, we reviewed HCR definitions (k = 84) and found that most definitions focus on collective knowledge, skills, and abilities. Recent definitions also tend to include other characteristics (e.g., personality). In Study 2, a content analysis of HCR measures (k = 127) revealed that only 23.6% of the measures focused solely on HCR and they tended to assess only one or two dimensions of the construct (i.e., were deficient). Many measures (46.5%) assessed both HCR and other constructs (i.e., were partially contaminated), and other measures (29.9%) assessed only non-HCR constructs (i.e., were fully contaminated). In Study 3 (k = 94), we found that HCR measures that were less deficient demonstrated stronger criterion-related validity for predicting unit and firm performance. Interestingly, partially contaminated measures were somewhat more predictive than uncontaminated measures (ρ = .35 vs. .25, respectively), mainly because they assessed both HCR and other constructs that are related to performance. Both types of measures demonstrated stronger validity than fully contaminated measures. Overall, findings suggest that extant HCR measures often are deficient and/or contaminated. We discuss implications, as well as offer guidance for measuring HCR in future research. (PsycInfo Database Record (c) 2023 APA, all rights reserved)."
"Effect of entrepreneurial training for human resource management of prisoners: A framework","https://scispace.com/paper/effect-of-entrepreneurial-training-for-human-resource-3gix7r8xsx","2021","","","Zubaa Akhtar","10.5281/ZENODO.4764550","","… leading to no empirical assessment in the literature indicates a weak … This theory proposes that PBC influences the behavior of … I am grateful to my department NUST Business School lor …","217 Copyright © 2021 International Journal of Criminal Justice Sciences (IJCJS) – Official Journal of the South Asian Society of Criminology and Victimology (SASCV) Publisher & Editor-in-Chief – K. Jaishankar ISSN: 0973-5089 January – June 2021. Vol. 16 (1): 217–235. DOI: 10.5281/zenodo. 4764550 / IJCJS is a Diamond Open Access (Authors / Readers No Pay Journal). Indexed in Scopus and Emerging Sources Citation Index (Web of Science)."
"Human capital is dead; long live human capital resources!","https://scispace.com/paper/human-capital-is-dead-long-live-human-capital-resources-21jc6t1m28","2014","Journal Article","Journal of Management","Robert E. Ployhart
Anthony J. Nyberg
Greg Reilly
Mark A. Maltarich","10.1177/0149206313512152","https://www.researchgate.net/profile/Anthony-Nyberg/publication/278108019_Human_Capital_Is_Dead_Long_Live_Human_Capital_Resources/links/5603d2a208ae4accfbb8c810/Human-Capital-Is-Dead-Long-Live-Human-Capital-Resources.pdf","… different conceptualization of human capital resources that … that have dominated human capital theory for the last 50 years… a human capital investment than the combinations of human …",""
