"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Military participation ratios, human capital formation, and economic growth: a cross-national analysis","https://scispace.com/paper/mPDlbZcc1X0J","","","","E Weede","","","… Since armed forces teach discipline and promote the habit of … a high military participation ratio, ie, much military personnel on … of economic development, investment, and human capital …",""
"Army Human Resources Development Strategy through Human Capital Approach","https://scispace.com/paper/army-human-resources-development-strategy-through-human-rp0jjxa5qe78","2025","Journal Article","","Sugeng Purwanto
Irfan Ilhamsyah","10.62567/ijosse.v1i1.603","https://e-jurnal.jurnalcenter.com/index.php/ijosse/article/download/603/525","… capability, and effectiveness of military personnel to support the … The transformation of defense human capital began with the … the human capital theory that sees investment in training as …","The focus of research on the statement is the strategy of developing human resources (HR) of the Army through a human capital approach in increasing the professionalism, capability, and effectiveness of military personnel to support the operational success of the Army in facing various security challenges. The purpose of this research is to analyze the Human Resource Development Strategy of the Indonesian Army through the Human Capital Approach. The method used in this research is descriptive qualitative with SWOT analysis tools and tree analysis. The theory used in this research is human capital. The results showed that the strategies used for HR development with a human capital approach are (1) Improving the quality of education and training of soldiers through evaluation and inclusive curriculum development. (2) Utilizing good education and training to improve soldiers' capabilities through an integrated and sustainable human capital approach. (3) Improving the professionalism of soldiers through merit-based personnel management system reform. (4) Improving soldiers' welfare by providing access to specialized higher education through the Defense University. (5) Improving transparency and efficiency through information and communication technology, keeping soldiers' focus on the main task of defense. By adopting a human capital approach, the Army is expected to improve the quality and capability of soldiers, so that they are ready to face future challenges and support the achievement of the organization's strategic goals. "
"Human resources, government education expenditure, and the military burden in less developed countries","https://scispace.com/paper/LsmRXuEBvW0J","","","","S Deger","","","… interactions between defense, education, human capital, and … civilian authority in human resource development and ease … , technical training is an important part of military service and …",""
"Formation, development and use of human capital: aspects of personnel security in a military conflict","https://scispace.com/paper/formation-development-and-use-of-human-capital-aspects-of-ig6y94wl","2023","Journal Article","International Journal of Services, Economics and Management","Uliana Motorniuk
Vitaliy Shliakhetko
Zoryana Ravlinko
Nina Petrukha
René Pawera","10.1504/ijsem.2023.10056911","","… are clearly distinguished, ie, competencies to achieve corporate goals) and national (formed based on previous levels with investment in such areas as education, training and retraining…",""
"How militaries learn: Human capital, military education, and battlefield effectiveness","https://scispace.com/paper/how-militaries-learn-human-capital-military-education-and-46w3ampln7","2019","Journal Article","Parameters","Marc R. DeVore","","","… failed to prepare the armed forces to defend state institutions … historical forces of economic development and human capital … of military reflection: the establishment of a staff college, the …",""
"Development of human capital in the military-industrial complex of Russia in the context of digital transformation","https://scispace.com/paper/development-of-human-capital-in-the-military-industrial-2mdq15fjok","2020","Journal Article","","Elena Dyundik
Sergey Golubev
Anastasia Makhova
Lev Gurtskoy","10.1051/E3SCONF/202021706005","https://www.e3s-conferences.org/articles/e3sconf/pdf/2020/77/e3sconf_ersme2020_06005.pdf","… that determines the training of personnel for the defense industry enterprises, to … of workers in business will require accelerating the rate of development of the human capital of defense …","The paper formulates the main areas of human capital development in the Russian military-industrial complex in the context of digital transformation. To remedy the current situation, it is necessary to change the system of training of employees of the defense industry, including scientific and pedagogical personnel and specialists. To do this, it is necessary to change the regulatory framework that determines the training of personnel for the defense industry enterprises, to develop methodological recommendations for a comprehensive assessment of the state of human resources in the defense industry; to develop new training programs that take into account the needs of the digital economy, to ensure a close connection of educational institutions with the employer of the military-industrial complex, to form a system of corporate training, a knowledge management system."
"A human capital model of the defense-growth relationship","https://scispace.com/paper/a-human-capital-model-of-the-defense-growth-relationship-4xpg2rr5y0","2021","Journal Article","Social Science Journal","Bruce D. McDonald","10.1016/J.SOSCIJ.2019.04.005","https://www.newswise.com/pdf_docs/155809402572805_McDonald%20military%20human%20capital%202019%20FINAL.pdf","… of military service and investment on human capital … As an investment in human capital, military training presents a … on physical capital and the annual expenditures on personnel. Data …","This paper develops a model to illustrate how human capital investments made by the defense sector impact economic performance. Emphasizing the on-the-job accumulation of human capital during milit..."
"When human capital threatens the Capitol: Foreign aid in the form of military training and coups","https://scispace.com/paper/Na2gQr_05dIJ","","","","JD Savage
JD Caverley","","https://www.jonathancaverley.com/s/human_captal_v_Capitol.pdf","… by reducing its military capital investment without sacrificing … ) is based on what Defense and State Department officials … We included Military personnel numbers; military size may …",""
"Military expenditure and human capital development in Nigeria","https://scispace.com/paper/military-expenditure-and-human-capital-development-in-1tr3dam0oo","2018","Journal Article","American Journal of Economics","C N Obasi
Fredrick O. Asogwa
F I Nwafee","","https://www.researchgate.net/profile/Fredrick-Asogwa/publication/335210616_Military_Expenditure_and_Human_Capital_Development_in_Nigeria/links/5d5729eda6fdccb7dc427075/Military-Expenditure-and-Human-Capital-Development-in-Nigeria.pdf","… Strong and efficient armed force, strong enough to guarantee national peace and security is … Also proper institutional framework should be put in place to look into the manpower needs …","Military expenditure has been recently argued to displace expenditure on human capital development indicators. Though no economic theory has firm backing on exact relationship between military spending and human capital development spending, most empirical studies claim the possibility of negative relationship between the two. This study investigates the impact of military expenditure on human capital development in Nigeria. The study used annual time series data from 1970 to 2014. Adopting Autoregressive Distributive Lag model (ARDL) and performing the necessary pre- and post-diagnostic tests, the results show that while military expenditure has insignificant negative relationship with education sector component of human capital development indicator (gross school enrolment rate), it however has significant negative impact on health sector component of human capital development indication (infant mortality rate). It was concluded that military expenditure has negative influence on human capital development. Based on these findings, it was recommended among other things that while government maintains simultaneous spending on both the military and on human capital development, it should be mindful of its dwindling spending on health sector and at the same time improve its spending on the education sector."
"The military in development","https://scispace.com/paper/the-military-in-development-50be1186b3","1976","Journal Article","World Development","Mary Kaldor","10.1016/0305-750X(76)90032-2","","… about the size of military spending, the size of armed forces, and … are on the decline, while workers and peasants have not yet entered … versus resource absorbing debate is susceptible …",""
