"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"The Relationship Between Training Program Participation and Gainful Civilian Employment of Gulf War-Era II Veterans","https://scispace.com/paper/the-relationship-between-training-program-participation-and-3q1vqitluq","2019","Journal Article","","Candace Rae Flatt
Delmar Rhodes","10.21061/JVS.V4I2.113","https://scispace.com/pdf/the-relationship-between-training-program-participation-and-3q1vqitluq.pdf","The GI Bill of Rights has helped millions of veterans with their transition into civilian employment through education and training programs. In addition to higher education benefits, the GI Bill provides educational assistance for vocational training, entrepreneurship courses, apprenticeships, on-the-job training, and remedial courses. Compared to previous studies, this study is unique in three aspects. First, this study focuses on training programs completed by veterans rather than higher education. Second, the training categories are constructed based on job-specific versus general properties of human capital theory. Finally, the study captures all training programs completed by veterans regardless of provider or sponsoring organization by using the National Longitudinal Survey of Youth 1997 (NLSY97) . Generalized linear mixed models are used to determine the relationship between the type of training program and gainful employment. Pre-employment training programs were found to be positively related to the gainful employment of Gulf War-Era II veterans.","errors. In other words, the lack of agreement between raters could prevent the ability to detect a relationship that actually exists . Although there is a risk that a single training program is incorrectly categorized, the types of training consist of several different training programs. Limitations and Future Research:
 The lack of long-term evaluation in veteran programs provides ample research opportunities. In particular, the most recent WIOA legislation mandates the development of performance measures and evidence-based practices. The outcomes under evaluation should not be limited to employment and income, but expanded to include other measurements aligned with the specific veteran program. The workforce development needs of Gulf War-Era II veterans are unique due to their demographics and experiences. Studies on the optimal workforce development programs that meet the specific needs of this population are vital for both veterans and employers. Conclusion Until 2009, the NLSY97 asked if each training program was paid for by the military, VA, or other government vocational rehabilitation program. Based on the last year of available information, one-third of the pre-employment training programs in this study were paid through a military or veteran program. Approximately 10% of veterans indicated their school-based or post-employment training programs were funded through a military, VA, or other government vocational rehabilitation program. Over the years, the question (YTRN-3800) has changed, which makes it difficult to use in a longitudinal study. However, at least some of the training programs included in this study were funded by the government through veteran programs. Four implications for public policy emerge from the results of this study. Pre-employment training programs benefit veterans:
 Given the lack of outcome studies in this area, the main contribution of this study is to provide a foundation for future outcome studies on skill development through training programs for veterans. Although the VA does not monitor or measure training programs, this study suggests that preemployment training programs result in the gainful employment of veterans. Pre-employment training programs benefit veterans:
 Currently, veterans primarily learn about the training benefits offered under the GI Bill through word of mouth . The majority of veterans do not hold a bachelor's degree or higher. Training programs are a good way for veterans who are unable to attend an institution of higher education to use benefits provided by the GI Bill. The positive results from this study can be used to publicize and promote underutilized training benefits. The relationship between different types of training programs and gainful employment is different for different populations:
 Under human capital theory, an investment in skills results in a return on investment, with job-specific skills valued higher than general skills. However, this relationship is dependent on the population. Not all types of education or training adhere to human capital theory for all populations. For example, the same type of study on formerly incarcerated individuals found that only postemployment training programs are positively related to gainful employment. The results of the study emphasized the important role of employers in addressing the mass incarceration problem. The training investment for formerly incarcerated individuals by employers acted as a signal of a good employee or stamp of approval . The relationship between different types of training programs and gainful employment is different for different populations:
 In contrast, the non-overlapping veteran population (i.e., never incarcerated veteran population) does not suffer from the same type or level of stigma as formerly incarcerated individuals. The most beneficial type of training for veterans provides pre-employment skills that speed up the transitioning process from a military career to civilian employment."
"Shifting demand or just moving price?: A multi-level analysis of student price demand for college education and state policy preferences","https://scispace.com/paper/shifting-demand-or-just-moving-price-a-multi-level-analysis-536yeiwhqb","2013","","","Hironao Okahana","","https://scispace.com/pdf/shifting-demand-or-just-moving-price-a-multi-level-analysis-536yeiwhqb.pdf","College affordability and rising tuition and fees are a topic of national interest. While a number of recent studies examine this subject separately from state policy and individual student perspectives, the body of scholarship that reviews the intersection of two components of supply and demand for higher education is relatively small. My focus for this dissertation is to amplify the understanding of how individual characteristics of students explain differences in their price demand for college education in their first year at four-year public and private not-for-profit colleges and universities. I am also interested in analyzing how state policy preferences, namely state postsecondary education efforts and proportional shares of need-based state student grant aid, mitigate such individual differentials. Drawing from previous studies, my study is guided by a combination of the human capital investment perspective, student price responsiveness to college education, and college choice framework. I contend that the price tag of college education--either sticker or net--is roughly where a student's price demand meets a supply of college education. I also argue that a student's price demand for college education is shaped by different forms of capital (e.g., cultural, monetary, and social capital) that each student possesses; thus, some students have more willingness and ability to pay for college education than others. Further, public policy has a role in offsetting such differences in individual capital, thereby making college-going options more equitable regardless of socioeconomic status. I ran several multi-level analyses using the National Postsecondary Student Aid Survey (NPSAS) datasets of the 1999-00, 2003-04, and 2007-08 cohorts as well as institutional- and state-level data drawn from various sources. The result confirms the presence of sticker shocks, or significant differences in student price demand for college, based on socioeconomic characteristics. The result also suggests that state postsecondary education efforts negatively correlate with sticker and net tuition and fees for students at public colleges and universities; however, this was not the case for states offering more need-based aid. Therefore, while state postsecondary education efforts offset individual differences in price demand for college education, the same was not true for direct student aid awards.","investment is anticipated. Economists characterize this notion as human capital investment . In this framework, individuals or employers make investments in training or education with the anticipation that there will be returns in forms of increased efficiency in production of goods and/or higher earning potentials. Human Capital Investment and Higher Education:
 An illustration of such economic transaction in the case of postsecondary education pursuit is that an individual chooses to invest in human capital when the areas labeled as ""A: College earning premiums"" and ""B: Non-monetary returns"" exceed the size of the area labeled as ""Costs"" in Figure .1 . In the chart, the point ""E"" represents the time of enrollment in college, the point ""G"" represents the time of college graduation, and the   point ""R"" represents the time of retirement from the workforce. Since college graduates are said to have greater longevity compared to their counterparts without college education , the illustration contains two sets of lifespan labeled as L1 and L2. In terms of monetary returns, since college graduates earn more in their career, they also receive higher retirement benefits; they also enjoy longer terms of receipts of such benefits. They also enjoy nonmonetary returns, such as better health and longevity and better quality of life . Human Capital Investment and Higher Education:
 The Nobel laureate economist Gary S.  contends that as a form of investment in human capital, education and training are the most important means of investment. Human Capital Investment and Higher Education:
 They yield higher income for those who attained an advanced education compared to those who did not. Returns on investment are often conceptualized as higher earnings for individuals, as well as emotional and physical health . It is said that the aim for human capital investment is to yield an overall productive workforce as a result of better educated/trained workers . Unlike investments in stock or property, the costs of human capital investments go beyond monetary expenditures. One must factor in opportunity costs and net present values to accurately reflect the true returns on such investments . One assumption is that while investing in human capital, individuals are not engaging in incomegenerating activity as much as their current ability and skills allow. In the case of education as human capital investment, the concept of opportunity costs is often conceptualized in terms of students' foregone earnings. In other words, opportunity costs are wages that students could be collecting if they remained in the workforce, instead of pursuing postsecondary education . Also, how much a dollar is worth to individuals in present terms affects how much they may be willing to invest in human capital. How the individual values a dollar differs because of economic circumstances; this difference creates varying cost assessments for making investments in human capital . While those from affluent backgrounds may have enough disposable income for human capital investments, others from less affluent families have a more difficult choice-food on the table or education. Even though returns on higher education may be clear, the costs would simply be too high for the impoverished family."
"The relationship between participation in different types of training programs and gainful employment for formerly incarcerated individuals","https://scispace.com/paper/the-relationship-between-participation-in-different-types-of-53kskxlm5n","2018","Journal Article","Human Resource Development Quarterly","Candace Flatt
Candace Flatt
Ronald L. Jacobs","10.1002/HRDQ.21325","https://scispace.com/pdf/the-relationship-between-participation-in-different-types-of-53kskxlm5n.pdf","","Keywords: human capital, workforce development, formerly incarcerated"
"Factors Influencing Investments into Human Resources to Support Company Performance","https://scispace.com/paper/factors-influencing-investments-into-human-resources-to-1uop8tnz","2022","Journal Article","Journal of risk and financial management","Xin Ma","10.3390/jrfm15010019","https://scispace.com/pdf/factors-influencing-investments-into-human-resources-to-1uop8tnz.pdf","Human resources are very important in a business; however, the return on investment in human resources is longer than in fixed assets, so entrepreneurs frequently consider how much to actually invest. This article, based on primary research, examines the motivations for investment when a 20% profit is typically invested with a model return of around 14%. Those findings are supported by the results presented in Archetype models based on similarity clustering. The results are based on an empirical study (278 respondents, omnibus survey) in the Czech Republic. Moreover, the study concludes that the business experience positively influences human resource management and future development to increase the investment share. In essence, this article displays the paramount importance of human resources and human resource management in the international business environment, demonstrating that investments in human resources are crucial to the success of all businesses, positively and consistently supporting organizations’ performance, and entrepreneurship will continue to remain a vital component of the activities belonging to the post COVID-19 era. In addition, in an era governed by the influences specific to the knowledge-based society and the knowledge-based economy, in which intellectual capital will be considered one of the most relevant intangible assets of entities all over the world, the measurement of human resources investment will turn out to be essential for the success of all businesses, while taking the necessary steps in supporting sustainability, sustainability assessment and Sustainable Development Goals (SDGs). ","older, the pressure is on innovation, and HRI costs are at a maximum to be successful in business. Finally, the last stage (S4) illustrates lower profitability of production and a noticeable decline in financial resources due to a fall in profits. Measurement of Human Resources Investment:
 According to , investment evaluation should not be just financial or non-financial. On the other hand, Petkovic et al. ( ) and Sichel (2008) discuss three options, particularly for the financial evaluation of human capital investments, such as financial market valuation, other performance measures, and direct expenditure data. The first method demonstrates how one euro invested generates market value, such as new knowledge or process improvements (i.e., measuring the impact of an investment on a product, added value). The second strategy capitalizes on changes in labor productivity or sales. Following to previous authors, an average annual appreciation of 2.8 percent is possible. However, due to the design of both approaches, errors and inaccuracies cannot be ruled out. As a result, empirical models or monitoring of all costs associated with a given investment are being promoted, where it has been indicated that up to 80% of costs can be detected, and the average return on investment in human capital is between five and seven years. Measurement of Human Resources Investment:
 To be able to solve this problem it is necessary to invest in innovations and HR during the whole process of equipment investment. As a valuable method for strategic analysis and planning, it could be seen as being balanced scorecard or costing-based on adequate accounting or CSR information    Each stage explains different behavior during the investment process when stage 1 (S1) represents the introduction of new equipment, and the personnel is providing stable work on it. No additional costs for training are needed. Stage 2 (S2) illustrates the whole workflow of the new equipment with arising capacity and first problems solving with unplanned difficulties with the technology. This situation is a motivational factor for training employees to repair machines, and HRI costs are growing. In stage 3 (S3), the technology is getting older, the pressure is on innovation, and HRI costs are at a maximum to be successful in business. Finally, the last stage (S4) illustrates lower profitability of production and a noticeable decline in financial resources due to a fall in profits. Measurement of Human Resources Investment:
 According to , investment evaluation should not be just financial or non-financial. On the other hand,  and  discuss three options, particularly for the financial evaluation of human capital investments, such as financial market valuation, other performance measures, and direct expenditure data. The first method demonstrates how one euro invested generates market value, such as new knowledge or process improvements (i.e., measuring the impact of an investment on a product, added value). The second strategy capitalizes on changes in labor productivity or sales. Following to previous authors, an average annual appreciation of 2.8 percent is possible. However, due to the design of both approaches, errors and inaccuracies cannot be ruled out. As a result, empirical models or monitoring of all costs associated with a given investment are being promoted, where it has been indicated that up to 80% of costs can be detected, and the average return on investment in human capital is between five and seven years."
"A working conference on global growth of technology :: is America prepared?","https://scispace.com/paper/a-working-conference-on-global-growth-of-technology-is-hnr2ho6g8a","1996","Report","","George Mulholland
John Fassett
Charles Ehrlich","10.6028/NIST.SP.897","https://scispace.com/pdf/a-working-conference-on-global-growth-of-technology-is-hnr2ho6g8a.pdf","","dialogue, a better understanding of what investment means and what its payoff would look like if we had a better way to deal with the fact that the creation of human capital has a downstream, future revenue stream which is similar to an investment in tangible capital. Appendix B::
 MR. ROSEN: If I could, I just want to dissect your question a little bit. Are we asking, how do we measure how much we invest in education? Or, what's the return on our investment in human capital? And what's odd is that you're correct. It's very easy to measure how much we invest in capital, physical capital. And we use those measurements of investment in capital to implicitly tell us something about the return on that investment. But we know very little, if anything, about that return on investment. When it comes to education training, we say, oh, we can't measure that. Well, I'll say that the errors in measurement are probably the same. It's just that we're willing to make those errors on the physical capital side. We're not willing to make it on the human capital side. Appendix B::
 We do know how much we invest, how much we spend on education and training. We know. And we also know that it's going down in this country in relative terms. Now, what we don't know is what we're getting for that dollar. And we need to do more work on that. You're correct, we do need to do more work in that area especially as we move into this technology and intelligence based society. And just because we haven't done it doesn't mean it can't be done. But we do already know the first part of that equation. Appendix B::
 There is only one way I know to spend on education. Somebody has got to put up the money. I'm talking about education broadly. So it's either going to be individuals who are going to pay for itthey have to have incomes-or, it's going to be a communal thing. But we have to pay taxes. Or it's going to be companies that are going to take some responsibility. And I don't see any of that happening. Maybe we all need to do it together, but someone has got to bring it together so that we all start doing it. Appendix B::
 But when we go to the firms, they say: if we invest in these people, these people just pick up and go to another firm. Or, we don't get anything back for it. You know, that kind of thing. I'm making a generalization and there are a lot of stars around this table. So, please don't take this personally. We should change that rule immediately and we should be encouraging everyone to continue education and to deduct its cost. Of course, you've got the problem with how to handle a basic college education, but we can handle that. We've done it on the physical capital side. Appendix B::
 And to pick up on Mr. William's point, we all said we need to have education but no one is willing to pay taxes to have it. It's more than just saying it's a good thing."
"The Human Capital Premium Puzzle","https://scispace.com/paper/the-human-capital-premium-puzzle-4kfh9fmcj7","2006","","","Ignacio Palacios-Huerta","","https://scispace.com/pdf/the-human-capital-premium-puzzle-4kfh9fmcj7.pdf","This paper studies the dynamic relationship between consumption and human capital investments. We find that the riskiness of human capital investments alone cannot possibly justify the return premium that is observed on human capital assets relative to the return on the riskless asset. Using a stochastic discount factor methodology, we then study the extent to which different frictions in human capital markets such as short-sale constraints and irreversibility, borrowing and solvency constraints, and psychic costs of investment help to explain the size of the risk-adjusted premium. We find that some of these frictions allow the models to satisfy the basic restrictions that human capital returns impose on the variability of the intertemporal marginal rate of substitution under feasible preferences parameters. This is particularly the case for short-sale and irreversibility constraints, and for preference specifications that include various non-separabilities in consumption. We also find that frictions in human capital markets are quite different across demographic groups, decreasing with education, age, and experience. On average the size of frictions for the different demographic groups is from 4 to 14 times greater than in financial markets.","choices of γ and δ. This specification includes the analysis of when γ 6 = 0. The IMRS for Different Preference Specifications: 11 Thus, R m,t+1 will be different across demographic groups. The results that will be reported Human Capital Returns and Data Sources:
 The measurement of human capital returns has been the subject of keen interest in the labor economics literature. Card ( ) offers a thorough review of progress in this area. There are a number of approaches to estimate the returns to schooling. Interestingly, the basic results we obtain are quite similar across the different measures of human capital returns that we consider. We follow the labor literature and, as education accounts for much of the improvement in population quality, perperiod human capital rates of return will be calculated as the returns to education for individuals characterized by their sex, race, and experience. Measures of Human Capital Returns:
 1. The first measure we consider is the one previously studied in Palacios-Huerta (2003a). The idea is to capture the per-period marginal rate of return that is obtained from having one additional ""unit"" of human capital over one period. This measure is important since it is directly associated with the growth rate in marginal utility that characterizes the equilibrium conditions. The basic idea is the following. An individual at time t with e − 1 units of human capital (say, years of education) is deciding his current consumption and whether to attend school or gain one more year of experience either this period (t) or next period (t + 1). If he decides to attend school this period and work next period, he will earn nothing at t and an expected real payoff of w e,t+1 at t + 1 with e years of education. If instead he decides to attend school next period and work today, he will earn a real payoff of w e−1,t today and nothing next period. Under these circumstances, the one-period human capital return is: R h e,t+1 = w e,t+1 w e−1,t . Measures of Human Capital Returns:
 Intuitively, this ratio is the marginal payoff of the last unit of human capital (education) over one period. This measure has the property of taking into account both the ""gains"" that arise from owning a stock of e − 1 units of human capital at t, as well as the skill premium that is obtained from increasing the stock of human turn out to be not very sensitive to the consideration of an aggregate index of human capital returns common to all individuals, or to variations in the weight on the human capital return between 0.7 and 0.9. The evidence presented in ,  suggests that human capital's share in the wealth of the U.S. is in fact between these values."
"Adult Offender Recidivism Rates: How Effective is Pre-Release and Vocational Education Programing and What Demographic Factors Contribute to an Offenders Return to Prison","https://scispace.com/paper/adult-offender-recidivism-rates-how-effective-is-pre-release-2agals99no","2014","","","Jr. James K Bueche","","https://scispace.com/pdf/adult-offender-recidivism-rates-how-effective-is-pre-release-2agals99no.pdf","The primary purpose of this study was to determine if the Louisiana Department of Public Safety and Corrections’ 100 hour pre-release program and vocational education had a significant impact on offender recidivism. Additionally, a model of predicating offender recidivism using demographic data was another aspect of the study. Offenders in the study were 404 offenders who completed the pre-release program, 404 offenders who completed vocational education and 808 offenders who composed the control group. All offenders were released from prison in the year of 2010, and if they returned to prison between their release and December 31, 2013, they were considered to have been a recidivist for the purpose of the study.


The effectiveness of the 100 hour pre-release and vocational education was conducted using SPSS with the chi-square test for program significance. Based on the test, neither program was found to have a significant impact on recidivism. However, when examining percentages of return to prison between the three groups, vocational education offenders performed the best and offenders who completed the 100 hour pre-release program had the highest percentage of offenders returning to prison.


The ability to develop a predictive model for recidivism utilizing select demographic factors was attempted using SPSS with the Binary Logistical Regression analysis. The demographic factors used were age, sex, race, marital status and education. A predictive model was unable to be established with this population. However, when looking at the population, being a male or a young offender was found to be predictors that were significantly tied with offender recidivism as individual characteristics.


Based on the body of research and the findings of the study, recommendations concerning the 100 hour pre-release program and vocational education suggest these programs need additional components of cognitive development training and community supports to show a greater impact on recidivism. Also, the creation of a reliable and valid risk model based on the total offender population is necessary. By implementing effective programs and having the correct offenders entering these programs, a reduction in recidivism may be more significant.","on these goals to often times be successful with the ultimate goal of releasing and staying out of prison. Offenders need to understand that programs at the facility level can provide them with the tools necessary upon release but they must commit to learning the new behaviors. Learning and Instruction:
 The ability for an individual to accept change has for the most part come from a behavioral orientation but should be dealt with in a cognitive manner when working with offenders.  found the need to examine how people respond to change and in what manner they should address any issues with change. The findings were that when a person takes change to an emotional level the ability to effectively deal with change can be problematic. Learning and Instruction:
 However, when they take change from a cognitive perspective, the ability to adjust is much quicker and there is less stress on the person and the organization or focus of the change. Learning and Instruction:
 Offenders have to deal with change on a routine basis. Having to examine their world and how they operate inside it can be stressful but is a must when working with this population. Getting them past the emotional aspect of change can be difficult but is necessary to address the cognitive factors of change. Investing in the Correctional Population (Return on Investment):
 The ability of a correctional organization to provide an effective training program to the offender population needs to consider what is effective when working with an adult population or adult learners. However, having the ability to expend necessary funds can be a challenge when examining the need to provide a quality rehabilitative process versus other needs of the agency. Organizations, especially correctional organizations, must provide offenders with current and accurate training modules that have a direct impact on reducing their return to prison. Investing in the Correctional Population (Return on Investment):
 Determining the return on investment can be a high priority for any organization during these current economic times. However, it can be difficult to complete given constraints within the literature.  found that the amount spent on training programs nationwide to be $125.9 billion in 2009. However, it continues to be difficult to determine how well organizations were doing relative to their rate of return on this large monetary investment. A meta-analysis of various studies revealed no real effective methodology for determining the rate of return expected on a company's training program. Additionally, it was discovered that many organizations never embarked on the process of conducting a return on investment analysis, as many were not equipped to conduct such a review .  also felt that the human capital branch of economics needed to be expanded in the field of Human Resource Development. Both felt strongly about the need to be able to begin a process by which we can show or demonstrate some type of return on investment or cost benefit analysis when it comes to organizational training programs. They believed that having the ability to show an organization that human capital represents a relationship between learning and increased productivity. Swanson and Holton discussed the need of being able to use the specific data metric of increased employee productivity as a means to show organizations that there is a true return on investment when resources are spent on training programs."
"Methodological techniques for evaluating the efficiency of private investment in education","https://scispace.com/paper/methodological-techniques-for-evaluating-the-efficiency-of-1u784khyw9","2019","Journal Article","","I.A. Bukreev","10.24891/DF.24.1.53","https://scispace.com/pdf/methodological-techniques-for-evaluating-the-efficiency-of-1u784khyw9.pdf","","par value (Table ). Types of human capital investment [17]:: As the computations show, different education background may possibly generate earnings of RUB 8,335 up to RUB 11,579 per month additionally to the average salary base. Types of human capital investment [17]::
 The nominal value of the future average salary will equal RUB 30,351 in four years' time, without its real value being changed as per the compound interest formula and inflation rate for the period of stable economic development (Т = 7%). The future amount of tuition fees and salary (alternative costs) will constitute the cost of education in line with the average salary base for the given period ( The ratio of additional potential earnings will range from 0.28 to 0.09 (Table ). Types of human capital investment [17]::
 The ratio of additional potential earnings will range from 0.27 to 0.08 (Table ). Types of human capital investment [17]::
 The real refinance rate R c (i) = 0.029 should be used to describe the rate of return on investment in education. Types of human capital investment [17]::
 The real refinance rate help measure the real amount of additional earnings. I apply such values to demonstrate whether earnings are substantial (Table ). Types of human capital investment [17]::
 After computations are made in accordance with the real interest rate of monthly additional earnings, which represent the rate of return on investment in education, the real salary can be compared at different levels of educational background. The comparison refers to the secondary education level (Table ). Types of human capital investment [17]::
 Relying upon the given data, I can underline the positive net return on higher education only, amounting to RUB 13,154.4 per month. Under the real economic circumstances, there is frequent demand for qualified workforce, especially in utilities and servicing sectors. Types of human capital investment [17]::
 The value of such workers' services considerably exceeds the average indicator given in Table  as compared with working time spent. In this case, the worker also acts as an entrepreneur, searching for orders on his/her own and considering payments for such services as his/her own income. Types of human capital investment [17]::
 Analyzing Table , I conclude that the return on investment in education increases as the qualification level is raised. Leadership positions generate the highest positive return. However, it is negative at the line level. Hence, the payback period of investment in education depends on the professional promotion dynamics or the period of working in a line position being as short as possible. Types of human capital investment [17]::
 If education is treated as investment and likened to investment in capital stock, the proposed technique for efficiency evaluation from perspectives of an individual allows to understand the required rate of return on investment in different levels of education through the salary difference. Types of human capital investment [17]::
 The computations herein are relevant since they help measure net earnings from different educational background as a whole and in particular, from perspectives of an individual as an economic entity. Types of human capital investment [17]::
 K. Marx's theory describes the situation when capital migrate from one industry to the other until prices for goods ensure equal profit for equal capital held in different industries. The same approach works in the proposed technique to measure the required rate of return on investment in different levels of education."
"An Empirical Analysis of the Risk Properties of Human Capital Returns","https://scispace.com/paper/an-empirical-analysis-of-the-risk-properties-of-human-2nmtcqhxoc","2003","Journal Article","The American Economic Review","Ignacio Palacios-Huerta","10.1257/000282803322157197","https://scispace.com/pdf/an-empirical-analysis-of-the-risk-properties-of-human-2nmtcqhxoc.pdf","Presents an empirical analysis of the risk properties of human capital returns. Discussion on measures of human capital returns; Description of the mean-variance spanning methodology; Information on real human capital returns and U.S. equity index return for 1964 to 1996.","covariance structure of returns; and (iii) no particular form of the utility function needs to be speci ed and, as a result, risk-return differentials do not depend on the form of the utility function and the degree of risk aversion. An Empirical Analysis of the Risk Properties of Human Capital Returns:
 In what follows we will examine the properties of human capital returns at the level of aggregation of demographic groups characterized by sex, race, education, and experience. The empirical analysis yields a number of results. First, we can determine the size of the gain or loss associated with different forms of risky human capital investments and nancial investments for the different demographic groups. For the period 1964-1996, we nd that the gains from a college (or greater) education per unit of risk are from 5 percent to more than 20 percent greater than from risky nancial assets, whereas the losses from a high school (or lower) education per unit of risk relative to risky nancial assets are typically greater than 15 percent for most demographic groups. Second, as Becker remarks, these comparisons also help to determine how serious human capital market dif culties, lack of knowledge, and liquidity problems may be. In particular, we can separate two different sources of gains and losses from investments. On the one hand, differences between human capital and nancial assets in terms of returns per unit of risk may be attrib-uted to differences in the nature and markets of these assets (e.g., liquidity, taxation). On the other hand, differences across demographic groups (sex and race) for given human capital holdings (e.g., a college education) will be associated with relative differences in nonmonetary returns, capital market dif culties, frictions, and other circumstances across these demographic groups. We often nd substantial differences across some sex and race groups with identical human capital holdings. I. Measures of Human Capital Returns:
 The measurement of human capital returns has been subject to a great deal of attention in the literature.  offers a comprehensive review of the literature, as well as an extended discussion of various econometric issues. Given the various procedures available in the literature for estimating the returns to schooling, we will evaluate the robustness of the empirical ndings for various measures of human capital returns. The basic measure we consider can be described as follows. Returns to schooling are typically calculated as the proportional increase in earnings per year associated with the last unit of education (the marginal return). Thus, we shall consider the marginal payoff of the last unit of education over one period, from t to t 1 1. Let w e,t denote the real payoff at time t of an individual with e units of education. The marginal return can then be approximated as: I. Measures of Human Capital Returns:
 (1) R e,t 1 1 h 5 w e,t 1 1 w e 2 1 ,t . I. Measures of Human Capital Returns:
 This approximation accounts for both the one-period gains obtained from owning e 2 1 units of human capital at t, as well as the skill premium from owning one more unit at a given time. To see this, note that it can be decomposed as:"
"The Extent to Which Human Resources Managers in KNPC Believe in Human Resource Investment","https://scispace.com/paper/the-extent-to-which-human-resources-managers-in-knpc-believe-3813jxgwhb","2014","Journal Article","International Business Research","Ateej B. Al-Adwani","10.5539/IBR.V7N4P132","https://scispace.com/pdf/the-extent-to-which-human-resources-managers-in-knpc-believe-3813jxgwhb.pdf","Human Capital is increasingly believed to play an important role in the growth process, so the attention headed towards the investment in Human Capital. This concept is relatively varying from one organization to another. In this study the purpose is to examine the extent to which Human Resource managers in KNPC believe in Human Resource Investment. For this purpose the researcher made interviews with the Head Managers in KNPC in order to understand their thought and ideas about human recourse management and investment. And the results of this study are as the following: proceeding from the concept of human resources development, the KNPC Head Managers stated that training the new employees as well as training the trainers has proved positive effects on performance, productivity and the overall success. The performance of human capital is being observed using the Balanced Scorecard as a management system strategy. Also the interviews with the head managers have emerged the perspective of decision making the managers adapting. Finally the researcher presented some recommendations as the following: while involving the employees in decision making process the managers must be aware about the privacy of some decisions regarding its importance and how much it is dangerous to be spread outside the organization. In addition of that the researcher recommends to integrate the modern concepts of balanced scorecard in order to achieve better measurements and estimation for human capital.","somewhat connected to a certain limits that help in delivering this process into the shore of success if they have been taken into account and used effectively and in smart way. Generally speaking, the process of investing in the human capital may face some of these challenges: Planning::
 Which refer to the process of implementing the frameworks needed for human building and determine his needs and requirements to acquire skill, talents and other influential tools to be an active and beneficial member in the organization. The lack of planning may lead to vagueness in the clarity of the goals and inadequate distribution of the resources and a mixed up the priorities (National Archives of USA, 2009). Planning::
 From one hand a bad planning for human resources may cause an inappropriate tasks allocation, thus it might kill the talent of talented employees if they are not discovered and used efficiently. From the other hand bad planning may lead to put the wrong person in a critical and influential position, resulting wrong decision making leading to organization retrogression (National Archives of USA, 2009). Physical safety::
 Peace and security comes under this context because of their direct impact on investing in the human capital. It is obvious that any investment or industry cannot be established, built, improved or even achieve success in a dangerous and unstable business climate. So it is important to have and guarantee a safety, stable and peaceful environment to get a successful investment (USA.  As recently shown to the whole world, the countries suffering from civil wars like Syria, Libya, and Sudan or the countries having foreign wars like Iraq, Afghanistan and Pakistan are facing serious problems with investment in human capital or with investment in general. Wars cause loose in the national security in these countries which affects badly in human recourses, thus experts, minds and highly educated people forced to migrate to other countries. Education and training::
 The investment of employee' education is important as well as equipment's investment, thus having educated and qualified stuff is the corner stone in any organization's establishment. But sometimes it is required to hire expatriates because of their qualifications and experience which might cost the organization additional expenses to hire them. Education and training::
 From the training aspect, in order to achieve a significant progress, go along with new economic challenges and to compete with other organizations it is necessary to improve and motivate the stuff or part of it-Team leaders, managers or supervisors-by subjecting them to training programs. Also some organizations consider training the new employees has the same important of training the managers. Education and training::
 Therefore the education and training of employees considered as a challenge in investing in human capital because of its costs and its requirements for strategic planning . Measurements of Human Capital:
 Folloni & Vittadini ( ) mentioned in a study of them about the Human Capital Measurements that for about two hundred years the main reason for estimating the human capital was to measure the financial returns of its value. So we can consider measuring the contribution of human capital to the success of the organization is the backbone of evaluating the human capital process which is the process that has been studied for several decades. Thus measuring and management the performance of the human capital is an essential operation to guarantee that the progress of performance is oriented towards goals achievement. Measurements of Human Capital:
 The measurements of Human Capital have two approaches; the conventional approach and the modern one. Each one of these approaches has many techniques."
