"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A Human Capital Perspective On Criminal Careers","https://scispace.com/paper/a-human-capital-perspective-on-criminal-careers-48lca92qrz","2011","Journal Article","Journal of Applied Business Research","John W. Clark
William L. Davis","10.19030/JABR.V11I3.5860","https://scispace.com/pdf/a-human-capital-perspective-on-criminal-careers-48lca92qrz.pdf","he existing economics literature has traditionally viewed crime as a choice-making process, where the potential criminal chooses among alternatives based upon the costs and benefits of each. Models by Becker, Rogers, Tullock, and Hellman, have generally portrayed the criminal choice equation as static and not allowed for the dynamic changes that may occur to the criminals aptitude, and income over long time horizons. This paper develops a dynamic choice model of criminal behavior over a criminal career including the acquisition process for both legal and criminal human capital. Psychic and monetary benefit and cost factors are discussed as well as the standard arguments concerning the probabilities of apprehension and convention. The model suggests that to alter the criminals choice pattern and, therefore, his education toward legal income-producing activities, the first instance of incarceration is the most crucial and that t(1) A learning multiplier exists for the criminal in both legal and illegal learning. (2) Greater segregation of prison populations by ordinal magnitude of offence could better separate criminal students from criminal mentors and further reduce criminal education. (3) Higher order legal skills training in the penal system may shift the education decision to legal educational pursuits. (4) Redefining the legal and constitutional rights afforded felons could increase the probability of repeat apprehension and reduce the incentive to repeat offenses.","This article developed a dynamic choice model of criminal behavior over a criminal career including the acquisition process for both legal and criminal human capital, which suggests that to alter the criminals choice pattern and, therefore, his education toward legal income-producing activities, the first instance of incarceration is the most crucial."
"The Returns to Criminal Capital","https://scispace.com/paper/the-returns-to-criminal-capital-3kh04fdbej","2013","Journal Article","Social Science Research Network","Thomas A. Loughran
Holly Nguyen
Alex R. Piquero
Alex R. Piquero
Jeffrey Fagan","10.2139/SSRN.2225323","https://scispace.com/pdf/the-returns-to-criminal-capital-3kh04fdbej.pdf","Human capital theory (Becker 1962; Mincer 1958; Schultz 1960; 1961) posits that individuals can increase their labor market returns through investments in education and training. This concept has been studied extensively across several disciplines. An analog concept of criminal capital, while the focus of speculation and limited empirical study, remains considerably less developed theoretically and methodologically. This paper offers a formal theoretical model of criminal capital indicators and tests for greater illegal wage returns using a sample of serious adolescent offenders, many of whom participate in illegal income-generating activities. Our results reveal that, consistent with human capital theory, there are important illegal wage premiums associated with investments in criminal capital, notably an increasing but declining marginal return to experience and a premium for specialization. Further, as in studies of legal labor markets, we find strong evidence that, if left unaccounted for, non-random sample selection causes severe bias in models of illegal wages. Theoretical and practical implications of these results, along with directions for future research, are discussed.","In this article, a formal theoretical model of criminal capital indicators and tests for greater illegal wage returns using a sample of serious adolescent offenders, many of whom participate in illegal income-generating activities."
"Conceptualization of Human Capital: Traditional Theories and Modern Approaches","https://scispace.com/paper/conceptualization-of-human-capital-traditional-theories-and-1qbe85cb7g60","2024","Journal Article","Obŝestvo: sociologiâ, psihologiâ, pedagogika","Maksim A. Borodkin","10.24158/spp.2024.10.3","","Conceptual approaches to human capital have been formed under the influence of various disciplines and areas of research practice. Currently, there are grounds to assert the interdisciplinary nature of this concept. The aim of the article is to consider the category of human capital in the process of its transformation from purely economic to socio-cultural in the context of today’s constantly changing reality. The work presents the main economic and sociological theories of human capital, outlines the viewpoints of scholars who were the developers of this concept, and highlights key areas of research on it in modern society. These include: research of the new types of capital typical for the modern social context; analysis of the concept’s structure from the perspective of its adaptability to the tasks of qualitative sociology; study of the mutual influence of human capital and the welfare state. ","This article explores the transformation of human capital from an economic to socio-cultural concept, integrating economic and sociological theories, and highlighting key research areas, including new capital types, adaptability, and the relationship between human capital and the welfare state."
"A multi-level investigation of individual and unit-level human capital complementarities","https://scispace.com/paper/a-multi-level-investigation-of-individual-and-unit-level-3i9ephrpvw","2013","Journal Article","","Alia Crocker
Rory Eckardt","10.5465/AMBPP.2013.14836ABSTRACT","","Human capital theory has recently expanded to include multi-level analysis by conceptualizing the unit-level human capital resource. At the same time, the value and interdependency of complementary...","The human capital theory has recently expanded to include multi-level analysis by conceptualizing the unit-level human capital resource as discussed by the authors, and the value and interdependency of complementary human capital resources have been investigated."
"The Implications of the Economic Theory of Human Capital for Personnel Management","https://scispace.com/paper/the-implications-of-the-economic-theory-of-human-capital-for-36oilu03pr","1981","Journal Article","Personnel Review","Eric G. Flamholtz
John M. Lacey","10.1108/EB055429","","Research in labour economics during the past several years has led to the development of the theory of human capital. This theory deals with a variety of issues concerning the productivity of people as the result of their human capital.","The theory of human capital has been studied extensively in the past several years as mentioned in this paper, which deals with a variety of issues concerning the productivity of people as the result of their human capital."
"A Discussion of some Applications of Human Capital Theory to Military Manpower Issues","https://scispace.com/paper/a-discussion-of-some-applications-of-human-capital-theory-to-rudoizmw14","1976","","","Mark J. Albrecht","","https://scispace.com/pdf/a-discussion-of-some-applications-of-human-capital-theory-to-rudoizmw14.pdf",": Since its inception, human capital theory has found a natural subject in the military. Because of its substantial investments in training, its host of essentially nontransferable skills and its unique labor contracts, the military establishment has, indeed, been a conspicuous case for application of human capital principles for policy purposes. In his seminal work, Human Capital Theory, G. S. Becker summarized the military manpower situation from a human capital point of view, thusly, 'the military is a clear example of an organization which pays at least part of training costs and does not pay market wages to skilled personnel.' Implicit in this view is the prediction that the military will have an abundance of 'students' and heavy losses of 'graduates.' When Becker provided this insightful assessment, however, the draft and draft-induced enlistments ensured an essentially infinite supply of manpower at below comparable market wage rate and at constant cost. If one, then assumes a non-infinite marginal rate of substitution between first-term and career personnel, the policy problems of procurement, utilization, and retention could be conveniently consolidated into a single policy variable, namely, yearly draft requirements. With the advent of the all-volunteer force in 1972 and the increasing technological nature of military specialties in the mid-sixties, however, massive low cost labor supply and manageable marginal rates of substitution between first-timers and careerists for technical specialties no longer existed and, consequently, the policy issues of procurement, training, and retention could no longer be addressed by a single policy variable, and therefore, new policy requirements were generated.","In this paper, a human capital theory has been applied to the military, and the authors assume a non-infinite marginal rate of substitution between first-term and career personnel, and assume that the policy problems of procurement, utilization, and retention can be conveniently consolidated into a single policy variable, namely, yearly draft requirements."
"Review article human capital: a review article*","https://scispace.com/paper/review-article-human-capital-a-review-article-3yz1u40ib6","2016","","","Svetozar Pejovich","","https://www.jstor.org/stable/29767824","The importance of investment in human skill and knowledge has been recognized and acknowledged by economists ever since Adam Smith wrote: ""The work which (man) learns to perform . . . will replace to him the whole expense of his education, with at least the ordinary profits of any equally valuable capital."" Yet it was only in the 1950's that the economic profession turned its full attention to a more systematic analysis of the effects of investment in human capital on economic growth and welfare. A number of excellent studies have appeared dealing with various aspects of investment in man such as Mincer's analysis of the relationship between human capital and income distribution,1 Horvat's work on the optimum rate of investment,2 and Schultz's findings that human capabilities are limiting factors in economic growth of poor countries,3 while on the other hand, the con? tribution of education to economic growth in the U.S.A. since 1929 ex? ceeded that of physical capital.4 Slowly but persistently economists have become increasingly aware of the fact that a number of textbooks and economic models which con? sider labor as a unique, original and homogeneous factor are plain wrong; that, on the contrary, labor is a produced factor whose economic value arises primarily from investment in skill and knowledge. ""Much of modern macro-economic theory has been concerned with problems that are wrongly formulated, if not entirely spurious,"" remarked Harry Johnson, ""I refer especially to the theory of economic growth, where a great deal of effort has been devoted to exploring the difficulties of re? conciling the accumulation of capital with the growth of the labor force at a different, autonomously determined rate, and explaining the con? stancy of the share of labor which apparently results from the growth process.""5","The importance of investment in human skill and knowledge has been recognized and acknowledged by economists ever since Adam Smith wrote: ""The work which (man) learns to perform... will replace to him the whole expense of his education, with at least the ordinary profits of any equally valuable capital"" as mentioned in this paper."
"Comparison and Implications of Human Capital Theory at the Individual, Organization, and Country Levels","https://scispace.com/paper/comparison-and-implications-of-human-capital-theory-at-the-38o560l1qo","2014","Journal Article","Journal of Organizational Culture, Communications and Conflict","Seong-O. Bae
Louise Patterson","","","INTRODUCTION According to human capital theory, education level is positively correlated with income. It specifies a particular mechanism by which education increases skills; in turn, acquired skills increase productivity, resulting in higher productivity being rewarded through higher earnings (Becker, 1993). It shows a positive correlation between age and earnings whereby older workers earn more because they have more on-the-job experience or training. Education and on-the-job training are said to make workers more productive and they are paid more because of their increased productivity. On-the-job training can provide general human capital (i.e., skills and knowledge transferable to other firm settings) or specific human capital (i.e., skills and knowledge only useful in the particular firm) (Becker 1993). The notion of human capital theory provides us with important insight about the relationship between education and earnings and the factors related to education and earnings (e.g., age, type of training, costs, labor markets, etc.). Based on these insights, we can classify three implications of human capital theory at the individual, organization, and country levels. At the individual level, human capital theory explains basically a supply-side theory, which analyzes individual data consisting of the supply-side of the labor market. At the organization level, demand-side theory takes into account the analysis of firm related phenomena (e.g., productivity, investment, turnover, etc.). There is a comprehensive perspective at the country level, where both supply- and demand-side theory should be equally considered in national policy making. With respect to individuals, understanding of human capital theory can increase their investment motivation and decrease failure in the labor market. For human resource development professionals, a more economic view of training and development is required to apply investment activities and gain benefits with a minimal investment risk. With regards to government policy makers, implementing human capital theory provides a wider scope for considering the extent to which policies, such as education reform, government training policy, equal employment opportunity legislation, affirmative action, and pay equity arrangements, can provide a more efficient and equitable use of human resources. The purpose of this paper is to present human resource development professionals with information about significant factors related to human capital investment. It will help human resource development professionals understand what considerations they should make before investing in human capital. Based on a perspective of the individual, organization, or country, human resource development professionals may react differently in human capital investment. This paper will present the differences between three perspectives in human capital investment that are necessary to make good investment decisions. To achieve this purpose, the paper includes two challenges to human capital theory. First, it will theorize the basic frameworks of human capital to provide a theoretical foundation for further analysis in human capital investment. Secondly, it will identify considerable factors in human capital investment related to three levels of perspective--individual, organization, and country. At the same time, it will present how human capital theory can be applied in an investment decision for the three respective levels. THEORETICAL FRAMEWORKS OF HUMAN CAPITAL THEORY Becker (1962) introduced the basic notion of human capital. He states that the theory of human capital can be defined as skills acquisition, and that skills acquisition can be achieved through education and training. Education is the most important way to obtain human capital, and training is another important method to invest in human capital. For example, individuals invest in human capital by spending their money (e. …","In this article, the authors classified three implications of human capital theory at the individual, organization, and country levels, and presented the differences between three perspectives in human capital investment that are necessary to make good investment decisions."
"The Concept of Human Capital – the Need for an Interdisciplinary Synthesis","https://scispace.com/paper/the-concept-of-human-capital-the-need-for-an-5basztdhqc","2016","Journal Article","Journal of Siberian Federal University","Valerii S. Efimov
Alla V. Lapteva
Evgenia I. Mikhailova
В.С. Ефимов
А.В. Лаптева
Е.И. Михайлова","10.17516/1997-1370-2016-9-11-2664-2680","https://scispace.com/pdf/the-concept-of-human-capital-the-need-for-an-5basztdhqc.pdf","The article presents a review of theoretical and empirical studies of human capital, which has showed inadequacy of reduced representations about man, his activity and the possibility to implement it. Based on the performed critical analysis, the article substantiates the necessity to develop a systemic model of human capital, which is to unite the classical concepts of human capital and its components (education and competencies, health, demographic potential) with advanced concepts, including personal qualities of a person, activity, identity; the features of not only individuals but also collectives and groups; the concept of social capital; representations about the conditions, media and institutions that provide human development and capitalization; ideas about subjects of human capitalization; representations of the negative processes leading to ‘dissipation’ of human resources. Two groups of categories are offered on the basis of the philosophical and methodological analysis. They are material – processes – conditions and subjects – interests/positions – activity, allowing us to carry out the system assembly of the ideas about human capital. With respect to the applied empirical research, the article discusses the most important focus of human capital studies; significant components (characteristics) of human capital; the methods of research (fixation, evaluation) of the most important characteristics of human capital.","In this paper, the authors present a review of theoretical and empirical studies of human capital, which has showed inadequacy of reduced representations about man, his activity and the possibility to implement it."
"Measuring Human Capital","https://scispace.com/paper/measuring-human-capital-pi5a2g3r","2022","Report","Social Science Research Network","K. Abraham
Justine Mallatt","10.3386/w30136","","We review the existing literature on the measurement of human capital. Broadly speaking, economists have proposed three approaches to constructing human capital measures—the indicator approach, the cost approach, and the income approach. Studies employing the indicator approach have used single measures such as average years of schooling or indexes of multiple measures. The cost approach values human capital investments based on spending. The income approach values human capital investments by looking forward to the increment to expected future earnings they produce. The latter two approaches have the significant advantage of consistency with national income accounting practices and measures of other types of capital. Measures based on the income approach typically yield far larger estimates of the value of human capital than measures based on the cost approach. We outline possible reasons for this discrepancy and show how changes in assumptions can reconcile estimates based on the two approaches.","This article reviewed the existing literature on the measurement of human capital and proposed three approaches to construct human capital measures: the indicator approach, the cost approach, and the income approach, which have the significant advantage of consistency with national income accounting practices and measures of other types of capital."
