"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Measuring Human Capital: Alternative Methods and International Evidence","https://scispace.com/paper/measuring-human-capital-alternative-methods-and-24e4nck7vn","2008","Posted Content","The Korean Economic Review","Les OXxley
Ttrinh Le
John Gibson","","","Human capital is increasingly believed to play an important role in the growth process, however, adequately measuring its stock remains controversial. This paper identifies three general approaches to human capital measurement; cost-based, income-based and education-based, and presents a critical review of the theories and their applications to data from a range of countries. Emphasis on empirical evidence will be given to the case of New Zealand.","In this article, the authors identify three general approaches to human capital measurement; cost-based, income-based and education-based; and present a critical review of the theories and their applications to data from a range of countries."
"La misurazione del capitale umano: una rassegna della letteratura","https://scispace.com/paper/la-misurazione-del-capitale-umano-una-rassegna-della-3dmk86rvs2","2009","Posted Content","Research Papers in Economics","Mario Nosvelli","","","As well known, human capital plays a crucial role both for private and social wellbeing. Notwithstanding, measurement of human capital is not univocally defined in empirical analyses, since different indicators and methods are employed and, sometimes, the proxies seem to be not very efficient for human capital econometric specification. The main aim of this paper is to provide a comprehensive review of different measurements of human capital showing the most diffused approaches based both on simple indexes and on more complex statistical and econometric tools. Since human capital is a multifaceted and complex asset, a necessary condition to better measure it is to improve its understanding and definition, which are the basic requirements of an efficient measurement. Two major results emerge from this analysis. Firstly, it appears quite clearly that the best measurement of human capital in absolute terms does not exist, but, on the contrary, methods or formula which seem the most efficient and coherent to analytical objectives should be adopted. Secondly, approaching human capital measurement, data quality and availability are essential, more than any other methodological and theoretical issue.","In this article, the authors provide a comprehensive review of different measurements of human capital showing the most diffused approaches based both on simple indexes and on more complex statistical and econometric tools."
"Net Investment and Stocks of Human Capital in the United States, 1975-2013","https://scispace.com/paper/net-investment-and-stocks-of-human-capital-in-the-united-j5mse4iynf","2016","Posted Content","Research Papers in Economics","Michael S. Christian","","","This article continues the research initiated in Christian (2010, 2014) on measurement of human capital stocks and investment in the United States. It develops estimates of a series of human capital stock and net investment from 1975 to 2013, using the lifetime earnings approach of Jorgenson and Fraumeni (1989, 1992). The series decomposes net investment into investment from births, investment in education net of aging of persons enrolled in school, depreciation from aging of persons not enrolled in school, depreciation from deaths, and a residual term that includes net migration and measurement error. The study also discusses the cost-based approach of measurement in human capital of Kendrick (1976) and compares investment in education between the cost and income approaches. The stock of human capital rose at an annual rate of 1.0 per cent between 1977 and 2013, with population growth as the primary driver of human capital growth. Per capita human capital remained much the same over this period, with the effect of greater levels of education being offset by the effect of an aging population.","In this article, the authors developed estimates of a series of human capital stock and net investment from 1975 to 2013, using the lifetime earnings approach of Jorgenson and Fraumeni (1989, 1992)."
"Human Capital: A Theoretical and Empirical Analysis, with Special Reference to Education","https://scispace.com/paper/human-capital-a-theoretical-and-empirical-analysis-with-2enwamuyk2","2009","Book","","Gary S. Becker","","","""Human Capital"" is Becker's study of how investment in an individual's education and training is similar to business investments in equipment. Becker looks at the effects of investment in education on earnings and employment, and shows how his theory measures the incentive for such investment, as well as the costs and returns from college and high school education. Another part of the study explores the relation between age and earnings. This edition includes four new chapters, covering recent ideas about human capital, fertility and economic growth, the division of labour, economic considerations within the family, and inequality in earnings.","In this paper, the effects of investment in education and training on earnings and employment are discussed. But the authors focus on the relationship between age and earnings and do not explore the relation between education and fertility."
"Human Capital Accounting in the United States: 1994 to 2006","https://scispace.com/paper/human-capital-accounting-in-the-united-states-1994-to-2006-4uzcokog44","2013","Book","","Michael S. Christian","","","This paper presents measures of the human capital stock and of investment in human capital for the United States between 1994 and 2006. When both market and non-market production are included, the stock of human capital was equal to about three quarters of a quadrillion dollars in 2006, of which about 70 percent was non-market. The account breaks down human capital investment among the effects of births, deaths, aging, and education on human capital, as well as a residual effect attributed to (unmeasured) migration. Measures of gross investment in education are found to be very sensitive to counterfactual assumptions; consequently, investment in education is measured net of aging.","In this paper, the authors presented measures of the human capital stock and of investment in human capital for the United States between 1994 and 2006, and found that the stock of human capital was equal to about three quarters of a quadrillion dollars in 2006, of which about 70 percent was non-market."
"Human Capital: Advances in Theory and Evidence","https://scispace.com/paper/human-capital-advances-in-theory-and-evidence-365rf08gob","2009","Book","","Joop Hartog
Henriëtte Maassen van den Brink","","","Prologue Joop Hartog and Henriette Maassen van den Brink Part I. Measuring the Benefits from Human Capital: 1. What should you know about the private returns to education? Joop Hartog and Henriette Maassen van den Brink 2. The social returns to education Mikael Lindahl and Erik Canton 3. Returns to training Edwin Leuven 4. Human capital and entrepreneurs Justin van der Sluis and Mirjam van Praag 5. The effects of education on health Wim Groot and Henriette Maassen van den Brink 6. Are successful parents the secret to success? Erik Plug Part II. Applying and Extending the Human Capital Model: 7. Overeducation in the labour market Wim Groot and Henriette Maassen van den Brink 8. Underinvestment in training Randolph Sloof, Joep Sonnemans and Hessel Oosterbeek 9. Human capital and risk Joop Hartog and Simona Maria Bajdechi Part III. Policy Interventions: 10. Using (quasi-) experiments to evaluate education interventions Hessel Oosterbeek 11. Unemployment duration: policies to prevent human capital depreciation Bas van der Klaauw 12. Can we stimulate teachers to enhance quality? Ib Waterreus 13. Optimal tax and education policies and investments in human capital Bas Jacobs Epilogue: some reflections on educational policies A note on econometrics Index.","In this article, Hartog and van der Klaauw measure the benefits from human capital by applying and extending the human capital model and evaluate the effects of education on health and the social returns to education."
"Human Capital Investment: The Returns from Education and Training to the Individual, the Firm and the Economy","https://scispace.com/paper/human-capital-investment-the-returns-from-education-and-32hm0k3kj8","2005","Journal Article","Fiscal Studies","Richard Blundell
Lorraine Dearden
Costas Meghir
Barbara Sianesi","10.1111/J.1475-5890.1999.TB00001.X","https://scispace.com/pdf/human-capital-investment-the-returns-from-education-and-32hm0k3kj8.pdf","This paper provides a non-technical review of the evidence on the returns to education and training for the individual, the firm and the economy at large. It begins by reviewing the empirical work that has attempted to estimate the true causal effect of education and training on individual earnings, focusing on the recent literature that has attempted to control for potential biases in the estimated returns to education and training. It then moves on to review the literature that has looked at the returns from human capital investments to employers. Lack of suitable data and methodological difficulties have resulted in a paucity of studies that have carried out sound empirical work on this issue. In the final part of the review, we look at the work that has tried to assess the contribution of human capital to national economic growth at the macroeconomic level. This work has generally involved using either a ‘growth accounting’ theoretical framework or ‘new growth’ theories. Although the empirical macroeconomic evidence that accompanies this work does not generally allow one to distinguish between the two approaches, there is a substantial body of evidence on the contribution of education to economic growth.","In this article, the authors provide a non-technical review of the evidence on the returns to education and training for the individual, the firm and the economy at large, focusing on the recent literature that has attempted to control for potential biases in the estimated returns."
"Investment in human capital","https://scispace.com/paper/investment-in-human-capital-2841x1c81a","2016","","","William D. Marder
Douglas E. Hough","","https://www.jstor.org/stable/pdfplus/145656","A wealth-maximizing model of the demand for investment in human capital is applied to the investments made by resident physicians. Residents work long hours for relatively low salaries in order to gain exposure to learning opportunities that ultimately enhance future income. A model of hospital supply of investment opportunities is also developed which emphasizes the trade-off the hospital must make between providing additional patient care and employee training. In the past the inability to quantify on-the-job training investment has precluded direct empirical investigation of this decision. A unique data set allows the simultaneous examination of the demand for and supply of learning opportunities; the results generally confirm the theory.","In this paper, a wealth-maximizing model of the demand for investment in human capital is applied to the investments made by resident physicians, which emphasizes the trade-off the hospital must make between providing additional patient care and employee training."
"The influence of correctional education, skill proficiency, and lifelong learning on social outcomes of incarcerated individuals: Results from PIAAC","https://scispace.com/paper/the-influence-of-correctional-education-skill-proficiency-qz8020jgpl","2020","Journal Article","Social Science Journal","Roofia Galeshi
Riane M. Bolin","10.1016/J.SOSCIJ.2019.09.007","","A rich body of scientific research suggests a positive relationship between education and social and political engagement. Active social engagement is important for incarcerated individuals if they are to successfully reintegrate into communities and desist from further involvement in crime. While a plethora of research has focused on the importance of correctional education, the extent of association between other forms of human capital such as cognitive skills and adult lifelong learning is unclear. The current study utilized data from the U.S. PIAAC Prison Study (2014) to explore the relationship between educational attainment, adult cognitive skill proficiency, lifelong learning, and social outcomes among incarcerated individuals. At least one of the three types of human capital variables included was found to be positively and significantly related to the three social outcomes of political efficacy, interpersonal trust, and health perception, even after controlling for the other two human capital variables and a number of demographics, demonstrating that each has its own, distinct contribution to social outcomes. Policy implications regarding these findings are discussed.","This article explored the relationship between educational attainment, adult cognitive skill proficiency, lifelong learning, and social outcomes among incarcerated individuals and found that at least one of the three types of human capital variables included was positively and significantly related to the three social outcomes of political efficacy, interpersonal trust, and health perception."
"Education, Risk and Efficiency in Human Capital Investment","https://scispace.com/paper/education-risk-and-efficiency-in-human-capital-investment-21mmxtnm2u","2012","Posted Content","Research Papers in Economics","David Mayston
Juan Yang","","https://scispace.com/pdf/education-risk-and-efficiency-in-human-capital-investment-21mmxtnm2u.pdf","University of York Beijing Normal University The efficiency of the process of investment in human capital through education is of considerable importance both to the individuals involved and to the wider economy. The paper develops an analytical framework in which issues of the efficiency of such investment can be considered alongside its interface with the operations of the labour market, and in which the risks posed by such educational investments when the labour market is less than fully efficient can be analysed. These issues are of particular relevance in the context of the major expansions in higher education which have taken place in recent years, not least in China, which is now second in its share of all 25 â€“ 64 year olds internationally with tertiary education. The paper therefore complements its theoretical analysis with an empirical investigation of the risk factors which impact on the efficiency of this large-scale educational investment for individual graduates and for the wider economy","This paper developed an analytical framework in which issues of the efficiency of such investment can be considered alongside its interface with the operations of the labour market, and in which the risks posed by such educational investments when the labor market is less than fully efficient can be analysed."
